Id,Applications,Cef,NBR Version,Kit,Remarks,Manufacturer,Tipologia Appplicazione,Applications_note
"0","FAIRLEAD BELLOWS/SOFFIETTO PASSACAVO","560005",,,"(A 105-B 100-C 70-D3/5-E10/20)",,"FAIRLEAD_BELLOW",
"1","FAIRLEAD BELLOWS/SOFFIETTO PASSACAVO","560006",,,"(EXTERNAL Ø88 MM, HOLE Ø 54 MM)",,"FAIRLEAD_BELLOW",
"2","FAIRLEAD BELLOWS/SOFFIETTO PASSACAVO","560007",,,"(A 75-B 74-C 42-D3/5-E9/15)",,"FAIRLEAD_BELLOW",
"3","FAIRLEAD BELLOWS/SOFFIETTO PASSACAVO","560152",,,"(A 175-B 110-C 80-D3/5-E10/30)",,"FAIRLEAD_BELLOW",
"4","FAIRLEAD BELLOWS/SOFFIETTO PASSACAVO","500535K",,,"(A 190- EXTERNAL Ø38 MM, HOLE Ø 24 MM)",,"FAIRLEAD_BELLOW",
"5","UNIVER. PRIMER BULB KIT","500621.0",,,,,"FUEL_LINE_ASSEMBLIES",
"6","UNIVER FUEL LINE ASSEMBLY","500600.0",,,,"KIT POMPETTA UNIVER. Ø 7 MM","FUEL_LINE_ASSEMBLIES",
"7","8E","500129",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296898 AND BELOW"
"8","8E","500165G",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296899 AND UP"
"9","10E","500129",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296898 AND BELOW"
"10","10E","500165G",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296899 AND UP"
"11","12.5E","500129",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296898 AND BELOW"
"12","12.5CF","500129",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296898 AND BELOW"
"13","12.5E","500165G",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296899 AND UP"
"14","12.5CF","500165G",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296899 AND UP"
"15","15C","500165G",,,,"KOHLER","GENERATOR_IMPELLERS",
"16","16CF","500165G",,,,"KOHLER","GENERATOR_IMPELLERS",
"17","20C","500165G",,,,"KOHLER","GENERATOR_IMPELLERS",
"18","MDKAV","500120GT",,,,"ONAN","GENERATOR_IMPELLERS",
"19","MDKBG","500120GT",,,,"ONAN","GENERATOR_IMPELLERS","SPACESAVER"
"20","MDKAZ","500120GT",,,,"ONAN","GENERATOR_IMPELLERS",
"21","MDKBD","500120GT",,,,"ONAN","GENERATOR_IMPELLERS",
"22","MDKBE","500120GT",,,,"ONAN","GENERATOR_IMPELLERS",
"23","MDKBF","500120GT",,,,"ONAN","GENERATOR_IMPELLERS",
"24","MDKBD","500120GT",,,,"ONAN","GENERATOR_IMPELLERS","W/ISOLATED GROUND"
"25","MDKBE","500120GT",,,,"ONAN","GENERATOR_IMPELLERS","W/ISOLATED GROUND"
"26","MDKBF","500120GT",,,,"ONAN","GENERATOR_IMPELLERS","W/ISOLATED GROUND"
"27","3.0 WMD","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 2.4 WMD (50HZ"
"28","3.8/4.2 BCDT","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 3.5 BCDT (50HZ"
"29","4.0 BCD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ"
"30","4.0 BCG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)3.0 BCG (50HZ"
"31","4.4 BCD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ"
"32","4.4 WMD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)3.3 WMD (50HZ"
"33","4.5 BCG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)3.75 BCG (50HZ"
"34","4.5 BCGB","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)3.75 BCGB (50HZ"
"35","4.5 BCGT","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)3.75 BCGTC (50HZ"
"36","5.0 BCD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)4.0 BCD (50HZ"
"37","5.0 BCDA","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)4.0 BCDA (50HZ"
"38","5.0 BCDB","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)4.0 BCDB (50HZ"
"39","5.0 BCG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 4.2 BCG (50HZ"
"40","5.0 BCGA","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 5.2 BCGA (50HZ"
"41","6.0 BCD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)4.5 BCD (50HZ"
"42","6.5 TWG","500166G",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 4.9 TWG (50HZ"
"43","7.0 BCG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)5.0 BCG (50HZ"
"44","7.0 BCGA","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)5.0 BCGA (50HZ"
"45","7.0 BCGB","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)6.0 BCGB (50HZ"
"46","7.0 BCGC","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)5.9 BCGC (50HZ"
"47","7.2 BCGTC","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)6.0 BCGTC (50HZ"
"48","7.6 BTD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)5.7 BTD (50HZ"
"49","7.7 WMD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)5.8 WMD (50HZ"
"50","8.0 BEG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)6.4 BEG (50HZ"
"51","8.0 BTD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)6.0 BTD (50HZ"
"52","8.0 TWG","500166G",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 6.4 TWG (50HZ"
"53","8.0 WMD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)6.0 WMD (50HZ"
"54","8.5 BTG","500166G",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 6.5 BTG (50HZ"
"55","9.0 BTG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)7.0 BTG (50HZ"
"56","9.6 BCGTC","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)8.0 BCGTC (50HZ"
"57","10.0 BEG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)8.0 BEG (50HZ"
"58","11.0 TWG","500166G",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 8.5 TWG (50HZ"
"59","12.5 BEG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)10.0 BEG (50HZ"
"60","15.0 BEG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)12.0 BEG (50HZ"
"61","12.5 BTG","500166G",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 10.0 BTG (50HZ"
"62","15.0 BTG","500166G",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 12.0 BTG (50HZ"
"63","15.0 BTGA","500166G",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 12.0 BTGA (50HZ"
"64","20.0 WTA","500166G",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ) 16.0 WTA (50HZ"
"65","20.0 BEG","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)16.0 BEG (50HZ"
"66","25.0 BEG","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)20.0 BEG (50HZ"
"67","20.0 BED","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)16.0 BED (50HZ"
"68","20.0 BEDA","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)16.0 BEDA (50HZ"
"69","20.0 SBEG","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)16.0 SBEG (50HZ"
"70","20.0 SBEGA","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)16.0 SBEGA (50HZ"
"71","22.5 SBEG","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)18.7 SBEG (50HZ"
"72","22.5 SBEGA","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)18.7 SBEGA (50HZ"
"73","25.0 BED","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)20.0 BED (50HZ"
"74","25.0 WTA","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)20.0 WTA (50HZ"
"75","32.0 BED","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)25.0 BED (50HZ"
"76","32.0 BEDA","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)25.0 BEDA (50HZ"
"77","32.0 BEDB","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)25.0 BEDB (50HZ"
"78","32.0 WTF","500103GT",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)25.0 WTF (50HZ"
"79","10.0 BTD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)7.5 BTD (50HZ"
"80","10.0 BTDA","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)7.5 BTDA (50HZ"
"81","11.0 BTD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)8.3 BTD (50HZ"
"82","11.0 WMD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)8.3 WMD (50HZ"
"83","12.5 BTD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ)9.4 BTD (50HZ"
