Applications,CEF IMPELLERS,CEF IMPELLERS NBR Version,CEF KITs CODES,Remarks,Manufacturer,Tipologia Applicazione,Applications_note,Tipologia
"FAIRLEAD BELLOWS/SOFFIETTO PASSACAVO","560005",,,"(A 105-B 100-C 70-D3/5-E10/20",,"FAIRLEAD_BELLOW",,
"FAIRLEAD BELLOWS/SOFFIETTO PASSACAVO","560006",,,"(EXTERNAL Ø88 MM, HOLE Ø 54 MM",,"FAIRLEAD_BELLOW",,
"FAIRLEAD BELLOWS/SOFFIETTO PASSACAVO","560007",,,"(A 75-B 74-C 42-D3/5-E9/15",,"FAIRLEAD_BELLOW",,
"FAIRLEAD BELLOWS/SOFFIETTO PASSACAVO","560152",,,"(A 175-B 110-C 80-D3/5-E10/30",,"FAIRLEAD_BELLOW",,
"FAIRLEAD BELLOWS/SOFFIETTO PASSACAVO","500535K",,,"(A 190- EXTERNAL Ø38 MM, HOLE Ø 24 MM",,"FAIRLEAD_BELLOW",,
"UNIVER. PRIMER BULB KIT","500621.0",,,,,"FUEL_LINE_ASSEMBLIES",,
"UNIVER FUEL LINE ASSEMBLY","500600.0",,,,"KIT POMPETTA UNIVER. Ø 7 MM","FUEL_LINE_ASSEMBLIES",,
"8E","500129",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296898 AND BELOW",
"8E","500165G",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296899 AND UP",
"10E","500129",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296898 AND BELOW",
"10E","500165G",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296899 AND UP",
"12.5E","500129",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296898 AND BELOW",
"12.5CF","500129",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296898 AND BELOW",
"12.5E","500165G",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296899 AND UP",
"12.5CF","500165G",,,,"KOHLER","GENERATOR_IMPELLERS","SN 296899 AND UP",
"15C","500165G",,,,"KOHLER","GENERATOR_IMPELLERS",,
"16CF","500165G",,,,"KOHLER","GENERATOR_IMPELLERS",,
"20C","500165G",,,,"KOHLER","GENERATOR_IMPELLERS",,
"MDKAV","500120GT",,,,"ONAN","GENERATOR_IMPELLERS",,
"MDKBG","500120GT",,,,"ONAN","GENERATOR_IMPELLERS","SPACESAVER",
"MDKAZ","500120GT",,,,"ONAN","GENERATOR_IMPELLERS",,
"MDKBD","500120GT",,,,"ONAN","GENERATOR_IMPELLERS",,
"MDKBE","500120GT",,,,"ONAN","GENERATOR_IMPELLERS",,
"MDKBF","500120GT",,,,"ONAN","GENERATOR_IMPELLERS",,
"MDKBD","500120GT",,,,"ONAN","GENERATOR_IMPELLERS","W/ISOLATED GROUND",
"MDKBE","500120GT",,,,"ONAN","GENERATOR_IMPELLERS","W/ISOLATED GROUND",
"MDKBF","500120GT",,,,"ONAN","GENERATOR_IMPELLERS","W/ISOLATED GROUND",
"3.0 WMD","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ 2.4 WMD (50HZ",
"3.8/4.2 BCDT","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ 3.5 BCDT (50HZ",
"4.0 BCD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ",
"4.0 BCG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ3.0 BCG (50HZ",
"4.4 BCD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ",
"4.4 WMD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ3.3 WMD (50HZ",
"4.5 BCG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ3.75 BCG (50HZ",
"4.5 BCGB","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ3.75 BCGB (50HZ",
"4.5 BCGT","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ3.75 BCGTC (50HZ",
"5.0 BCD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ4.0 BCD (50HZ",
"5.0 BCDA","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ4.0 BCDA (50HZ",
"5.0 BCDB","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ4.0 BCDB (50HZ",
"5.0 BCG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ 4.2 BCG (50HZ",
"5.0 BCGA","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ 5.2 BCGA (50HZ",
"6.0 BCD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ4.5 BCD (50HZ",
"6.5 TWG","500166G",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ 4.9 TWG (50HZ",
"7.0 BCG","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ5.0 BCG (50HZ",
"7.0 BCGA","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ5.0 BCGA (50HZ",
"7.0 BCGB","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ6.0 BCGB (50HZ",
"7.0 BCGC","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ5.9 BCGC (50HZ",
"7.2 BCGTC","500121GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ6.0 BCGTC (50HZ",
"7.6 BTD","500101GX",,,,"WESTERBEKE","GENERATOR_IMPELLERS","60HZ5.7 BTD (50HZ",
