Pump Name,Engine Model,Pump P/N,Weight(Appx),No,JMP,OEM,Description,QTY,Remark
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","1","JPR-VP2799G","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","2","192","VOLVO PENTA","21951332 / SCREW, PUMP BODY","4",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","3","7136-01","VOLVO PENTA","21213664 / IMPELLER","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","4","ORG000101","VOLVO PENTA","O-RING, SCREW","4",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","5","ORG0052","VOLVO PENTA","3858938 / O-RING, IMPELLER","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","6","PBC0247","VOLVO PENTA","PUMP BODY","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","7","RET0013","VOLVO PENTA","827247 / LIP SEAL","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","8","SPC0033","VOLVO PENTA","SUPPORT RUBBER BUSH","1",
"JPR-VP2799G","4.3/5.0GL, 4.3/5.0/5.7GXi, 5.7Gi, V6-200/225, V8-225/270/300/320","21212799","2.61kg","9","PUK0157","VOLVO PENTA","DRIVE ASSY (PULLEY, SHAFT, BEARING, SNAP RING, BEARING HOUSING)","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","1","JPR-VP2800G","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","2","192","VOLVO PENTA","21951332 / SCREW, PUMP BODY","4",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","3","7136-01","VOLVO PENTA","21213664 / IMPELLER","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","4","ORG000101","VOLVO PENTA","O-RING, SCREW","4",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","5","ORG0052","VOLVO PENTA","3858938 / O-RING, IMPELLER","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","6","PBC0247","VOLVO PENTA","PUMP BODY","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","7","RET0013","VOLVO PENTA","827247 / LIP SEAL","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","8","SPC0033","VOLVO PENTA","SUPPORT RUBBER BUSH","1",
"JPR-VP2800G","8, 1Gi, 8.1IPS","21212800","2.09kg","9","PUK0158","VOLVO PENTA","DRIVE ASSY (PULLEY, SHAFT, BEARING, SNAP RING, BEARING HOUSING)","1",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","1","JPR-VP5090G","VOLVO PENTA","SEA WATER PUMP","1",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","2","192","VOLVO PENTA","21951332 / SCREW, PUMP BODY","4",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","3","7136-01","VOLVO PENTA","21213664 / IMPELLER","1",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","4","ORG000101","VOLVO PENTA","O-RING, SCREW","4",
"JPR-VP5090G","4.3/5.0/5.7GL, 4.3/5.0/5.7GS, 4.3/5.0Gi","21255090","2.69kg","5","ORG0052","VOLVO PENTA","3858938 / O-RING, IMPELLER","1",
