Pump Name,Engine Model,Pump P/N,Weight(kg),No,JMP,OEM,Description,QTY,Remark
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","1","JPR-YM07IP","YANMAR","SEA WATER PUMP","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","2","144",,"SCREW, END COVER","6",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","3","BER0069",,"BALL BEARING","2",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","4","43",,"WASHER","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","5","197",,"WASHER","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","6","7801",,"NUT","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","7","ORG0097",,"O-RING","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","8","RET0061",,"RETAINER","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","9","COV0077","X0142398000","COVER","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","10","SHA0197",,"SHAFT","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","11","SNP0029",,"SNAP RING","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","12","SPC0046",,"SPACER","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","13","CAMSET0051","X0142398000","CAM SET","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","14","7001-01","128397-42200","IMPELLER","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","15","JSM0183",,"MINOR KIT","1",
"JPR-YM07IP","2GML, 3GMD, 3GMLE","128270-42002","1.04","16","JSK0183",,"MAJOR KIT","1","ALL INTERNAL PARTS"
"JPR-YM08IH","2GMF, 3GMF, 2YM, 3YM","128397-42500","1.2000000000000002","1","JPR-YM08IH","YANMAR","SEA WATER PUMP - RE-ENGINEERED","1","MOUNTING BRACKET INCLUDED"
