Pump Name,Engine Model,Pump P/N,Weight(Appx),No,JMP,OEM,Description,QTY,Remark,Engine Flags
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,1,JPR-G6000F,DETROIT,SEA WATER PUMP,1,RE-REGINEERED,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,2,BER0015,DETROIT,BALL BEARING,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,3,BOL 80.00,DETROIT,"SCREW, END COVER",6,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,4,CAMSET000301,DETROIT,CAM SET,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,5,COV001301,DETROIT,END COVER,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,6,GAK0016,DETROIT,"GASKET, END COVER",1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,7,7426-01,DETROIT,IMPELLER,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,8,KEY0010,DETROIT,KEY,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,9,MCSSET0008,DETROIT,MECHANICAL SEAL SET,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,10,RET0005,DETROIT,OIL SEAL,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,11,SHA002201,DETROIT,SHAFT,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,12,SNP0010,DETROIT,SNAP RING,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,13,WER0001,DETROIT,WEAR PLATE,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,14,GEA0008,DETROIT,GEAR,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,15,JSM0028,DETROIT,MINOR KIT,1,,DETROIT DIESEL ENGINES
JPR-G6000F,"353, 453, 471","5145578, 5145576",3.9kg,16,JSK002301,DETROIT,MAJOR KIT,1,ALL INTERNAL PARTS,DETROIT DIESEL ENGINES
,,,,,,,,,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,1,JPR-G6010F,DETROIT,SEA WATER PUMP,1,RE-REGINEERED,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,2,BER0015,DETROIT,BALL BEARING,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,3,BOL 80.00,DETROIT,"SCREW, END COVER",6,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,4,CAMSET000301,DETROIT,CAM SET,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,5,COV001301,DETROIT,END COVER,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,6,GAK0016,DETROIT,"GASKET, END COVER",1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,7,7426-01,DETROIT,IMPELLER,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,8,KEY0010,DETROIT,KEY,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,9,MCSSET0008,DETROIT,MECHANICAL SEAL SET,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,10,RET0005,DETROIT,OIL SEAL,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,11,SHA002202,DETROIT,SHAFT,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,12,SNP0010,DETROIT,SNAP RING,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,13,WER0001,DETROIT,WEAR PLATE,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,14,GEA0017,DETROIT,GEAR,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,15,JSM0028,DETROIT,MINOR KIT,1,,DETROIT DIESEL ENGINES
JPR-G6010F,271,5145577,4kg,16,JSK002302,DETROIT,MAJOR KIT,1,ALL INTERNAL PARTS,DETROIT DIESEL ENGINES
,,,,,,,,,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,1,JPR-G6100,DETROIT,SEA WATER PUMP,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,2,BER0012,DETROIT,BALL BEARING,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,3,BOL 5.00,DETROIT,"SCREW, END COVER",5,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,4,CAMSET000501,DETROIT,CAM SET,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,5,COV0006,DETROIT,END COVER,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,6,8100-01,DETROIT,IMPELLER,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,7,GAK0007,DETROIT,"GASKET, END COVER",1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,8,KEY0011,DETROIT,KEY,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,9,MCSSET0003,DETROIT,MECHANICAL SEAL SET,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,10,RET0011,DETROIT,OIL SEAL,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,11,SHA0023,DETROIT,SHAFT,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,12,SNP0005,DETROIT,SNAP RING,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,13,SNP0013,DETROIT,SNAP RING,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,14,WER0009,DETROIT,WEAR PLATE,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,15,GEA0004,DETROIT,GEAR,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,16,JSM0006,DETROIT,MINOR KIT,1,,DETROIT DIESEL ENGINES
JPR-G6100,"6V53, 6V71, 8V53","23507971, 5186250, 5107480, 23501083, 5115396",8.8kg,17,JSK0024,DETROIT,MAJOR KIT,1,ALL INTERNAL PARTS,DETROIT DIESEL ENGINES
,,,,,,,,,,DETROIT DIESEL ENGINES
JPR-G6200,"6V71TI, 8V71, 12V71","23507972, 5122599, 5106016, 8924265, 23501769",8.8kg,1,JPR-G6200,DETROIT,SEA WATER PUMP,1,,DETROIT DIESEL ENGINES
