JMP Pump Name,Engine Model,Pump P/N,JMP,COMPANY,Description,Remark
"JPR-JD25UH","4039,4045,6068 SERIES","RE535944","7400-01","JOHN DEERE","IMPELLER","RE526661"
"JPR-S7633","6068SFM50","RE515657","7608-01","JOHN DEERE","IMPELLER","RE498496 IS JMP 7600-01"
"JPR-S7619","6067,6068,6081 SERIES","RE45458,RE517226","7608-01","JOHN DEERE","IMPELLER","RE49896 IS JMP 7600-01"
"JPR-JD50LF","DONG-A 6125 SERIES","N/A","8300-1","JOHN DEERE","IMPELLER",
"JPR-JD60IF","6125, SERIES","RE530689, RE536016, RE524510, RE530872","8350-01","JOHN DEERE","IMPELLER","RE524511(JPR-JD60IF)"
"JPR-JD60IF","6135","RE530689, RE536016, RE524510, RE530872","8350-01","JOHN DEERE","IMPELLER","RE524511(JPR-JD60IF)"
"JPR-JD60IF","6125, SERIES","RE530689, RE536016, RE524510, RE530872","8359-01","JOHN DEERE","IMPELLER","DZ108622(JPR-JD60IF2)"
"JPR-JD60IF","6135","RE530689, RE536016, RE524510, RE530872","8359-01","JOHN DEERE","IMPELLER","DZ108622(JPR-JD60IF2)"
"JPR-JD60LF",,,"8350-01","JOHN DEERE","IMPELLER / RE524511","JPR-JD60LF"
"JPR-JD60LF",,,"8359-01","JOHN DEERE","IMPELLER","JPR-JD60LF2"
"JPR-MN50","D2676","65.00600-0016, 22040-0701, 22040-0501","8301-01","MAN","IMPELLER","50.06506-0073"
"JPR-MD65LF(2)","S6R/S6R2","37553-18102,37553-28100,37555-101N0","9100-01","MITSUBISHI","IMPELLER",
"JPR-ME5000","S6A,S6B,S6R,S6R2 (KEEL COOLING)",,"IMP0062","MITSUBISHI","IMPELLER",
