Manufacturer,OE Part-NO,Cef Code,
"sdfsdfsdfsdf","6603","500102T",
"OBERDORFER","6617","500110",
"OBERDORFER","6617","500138",
"OBERDORFER","7054","500135T",
"OBERDORFER","8922","500120GT",
"SHERWOOD","9979","500100GX",
"WESTERBEKE","11418","500103GT",
"WESTERBEKE","11764","500166G",
"WESTERBEKE","11907","500103GT",
"CRUSADER","20300","500120GT",
"WESTERBEKE","32620","500121GX",
"WESTERBEKE","33032","500121GX",
"WESTERBEKE","33104","500103GT",
"WESTERBEKE","33112","500166G",
"WESTERBEKE","33779","500120GT",
"WESTERBEKE","34440","500101GX",
"JABSCO","50668","500172",
"MARINER-MERCURY","74639","500513K",
"OMC-JOHNSON-EVINRUDE","114812","500396",
"KOHLER","229826","500165",
"KOHLER","229955","500129",
"KOHLER","250872","500129",
"OMC-JOHNSON-EVINRUDE","277181","500350",
"WESTERBEKE","302875","500165",
"WESTERBEKE","302875","500165G",
"OMC-JOHNSON-EVINRUDE","312781","501003",
"KOHLER","359978","500190G",
"OMC-JOHNSON-EVINRUDE","375638","500351",
"OMC-JOHNSON-EVINRUDE","377178","500349",
"OMC-JOHNSON-EVINRUDE","377230","500352",
"OMC-JOHNSON-EVINRUDE","378891","500366",
"OMC-JOHNSON-EVINRUDE","379475","500356",
"OMC-JOHNSON-EVINRUDE","382221","500369",
"OMC-JOHNSON-EVINRUDE","382547","500307",
"VOLVO PENTA","384148","500514K",
"OMC-JOHNSON-EVINRUDE","385072","500306",
"OMC-JOHNSON-EVINRUDE","385289","500370C",
"OMC-JOHNSON-EVINRUDE","386084","500355",
"OMC-JOHNSON-EVINRUDE","387361","500358",
"OMC-JOHNSON-EVINRUDE","388702","500357G",
"OMC-JOHNSON-EVINRUDE","389133","BK0010",
"OMC-JOHNSON-EVINRUDE","389576","500354G",
"OMC-JOHNSON-EVINRUDE","389589","500345",
"OMC-JOHNSON-EVINRUDE","389642","500305",
"OMC-JOHNSON-EVINRUDE","389983","500374",
"OMC-JOHNSON-EVINRUDE","390286","500353",
"OMC-JOHNSON-EVINRUDE","391698","BK0008",
"OMC-JOHNSON-EVINRUDE","393630","BK0001",
"OMC-JOHNSON-EVINRUDE","394711","BK0009",
"MARINER-MERCURY","395270","BK0005",
"OMC-JOHNSON-EVINRUDE","395270","BK0005",
"OMC-JOHNSON-EVINRUDE","395289","500370C",
"OMC-JOHNSON-EVINRUDE","395864","500308CR",
"OMC-JOHNSON-EVINRUDE","396725","500303C",
"OMC-JOHNSON-EVINRUDE","396809","500346C",
"OMC-JOHNSON-EVINRUDE","397131","500308CR",
"OMC-JOHNSON-EVINRUDE","432941","500372C",
"OMC-JOHNSON-EVINRUDE","432954","500303C",
"OMC-JOHNSON-EVINRUDE","432955","BK0002",
"OMC-JOHNSON-EVINRUDE","433915","500332",
"OMC-JOHNSON-EVINRUDE","433935","500332",
"NANNI","434013","500121GX",
"NANNI","434014","500101GX",
"OMC-JOHNSON-EVINRUDE","434421","BK0003",
"OMC-JOHNSON-EVINRUDE","434424","500350",
"OMC-JOHNSON-EVINRUDE","435748","500308CR",
"OMC-JOHNSON-EVINRUDE","435821","500308CR",
"OMC-JOHNSON-EVINRUDE","436137","500354G",
"OMC-JOHNSON-EVINRUDE","437059","500373C",
"OMC-JOHNSON-EVINRUDE","437080","500303C",
"OMC-JOHNSON-EVINRUDE","438592","500373C",
"PERKINS","460024","500114T",
"PERKINS","460027","500105GT",
"PERKINS","460027","500145GT",
"PERKINS","460038","500107GT",
"CUMMINS","650607","500106GT",
"OMC-JOHNSON-EVINRUDE","775518","500351",
"OMC-JOHNSON-EVINRUDE","775519","500349",
"OMC-JOHNSON-EVINRUDE","775521","500366",
"OMC-JOHNSON-EVINRUDE","777130","500356",
"OMC-JOHNSON-EVINRUDE","777212","500305",
"OMC-JOHNSON-EVINRUDE","777213","500352",
"OMC","777214","500346C",
"VOLVO PENTA","803729","500100GX",
"VOLVO PENTA","804190","501006",
"VOLVO PENTA","804696","500116GX",
"VOLVO PENTA","807904","500105GT",
"VOLVO PENTA","813967","501007",
"VOLVO PENTA","818680","500102T",
"VOLVO PENTA","831182","500170CG",
"VOLVO PENTA","833550","500100GX",
"VOLVO PENTA","833995","500121GX",
"VOLVO PENTA","834794","500133G",
"VOLVO PENTA","835874","500120GT",
"VOLVO PENTA","854932","501001",
"VOLVO PENTA","858955","500530",
"VOLVO PENTA","860203","500107GT",
"VOLVO PENTA","860396","500531",
"VOLVO PENTA","875531","501008",
"VOLVO PENTA","875697","500145GT",
"VOLVO PENTA","875814","500145GT",
"VOLVO PENTA","876120","500133G",
"VOLVO PENTA","876632","501002",
"VOLVO PENTA","876690","500116GX",
"VOLVO PENTA","876771","500162G",
"VOLVO PENTA","877066","500135T",
"VOLVO PENTA","877400","500107GT",
"VOLVO PENTA","897055","500116GX",
"OMC","911826","500506",
"OMC","914036","500527K",
"OMC","983895","500317",
"OMC","983973","500514K",
"OMC","984461","SK0001",
"OMC","986465","500394",
"OMC","987467","500514K",
"CRUSADER","1003026","500103GT",
"CATERPILLAR","1095324","500182G",
"CATERPILLAR","1095327","500182G",
"CATERPILLAR","1230492","500182G",
"CATERPILLAR","1239785","500182G",
"VOLVO PENTA","3580066","500116GX",
"VOLVO PENTA","3583602","500177GT",
"VOLVO PENTA","3583602","500177GT",
"VOLVO PENTA","3583602","500187.HD GT",
"VOLVO PENTA","3584350","500178G",
"VOLVO PENTA","3586494","500100GX",
"VOLVO PENTA","3586496","500121GX",
"VOLVO PENTA","3586497","500116GX",
"VOLVO PENTA","3588474","500177GT",
"VOLVO PENTA","3588475","500114T",
"VOLVO PENTA","3588476","500177GT",
"VOLVO PENTA","3588476","500187.HD GT",
"VOLVO PENTA","3588753","500538K",
"VOLVO PENTA","3588914","500178G",
"VOLVO PENTA","3593573","500177GT",
"VOLVO PENTA","3593573","500187.HD GT",
"VOLVO PENTA","3593659","500116GX",
"VOLVO PENTA","3593660","500178G",
"VOLVO PENTA","3594509","500537K",
"CUMMINS","3802444","500164GT",
"VOLVO PENTA","3808898","500537K",
"VOLVO PENTA","3819486","500177GT",
"VOLVO PENTA","3819486","500177GT",
"VOLVO PENTA","3819486","500187.HD GT",
"VOLVO PENTA","3830459","500163G",
"VOLVO PENTA","3841697","500106GT",
"VOLVO PENTA","3842786","500178G",
"VOLVO PENTA","3850426","500528K",
"VOLVO PENTA","3852352","501010",
"OMC-JOHNSON-EVINRUDE","3852696","500534K",
"VOLVO PENTA","3852696","500534K",
"VOLVO PENTA","3854127","500514K",
"VOLVO PENTA","3854286","500103GT",
"VOLVO PENTA","3855546","500107GT",
"VOLVO PENTA","3856039","500107GT",
"VOLVO PENTA","3858139","500533K",
"VOLVO PENTA","3858256","500107GT",
"VOLVO PENTA","3858256","500107GT",
"VOLVO PENTA","3860384","500533K",
"VOLVO PENTA","3862281","500107GT",
"VOLVO PENTA","3862567","500107GT",
"VOLVO PENTA","3862567","500189GT",
"VOLVO PENTA","3887761","500162G",
"VOLVO PENTA","3888916","500536K",
"CUMMINS","3897337","500164GT",
"CUMMINS","3916852","500164GT",
"CUMMINS","3925236","500164GT",
"CUMMINS","3974456","500181G",
"CUMMINS","4019403","500182G",
"OMC-JOHNSON-EVINRUDE","5001593","500308CR",
"DETROIT DIESEL","5193553","500105GT",
"DETROIT DIESEL","5193602","500106GT",
"DETROIT DIESEL","5196168","500145GT",
"SELVA","8095010","500375",
"SELVA","8095020","500387",
"SELVA","8095040","500376",
"SELVA","8095050","500386",
"SELVA","8095060","500304",
"DETROIT DIESEL","8924838","500135T",
"CUMMINS","10556540","500105GT",
"VOLVO PENTA","21212794","500178G",
"VOLVO PENTA","21213660","500189GT",
"VOLVO PENTA","21213664","500178G",
"VOLVO PENTA","21430184","500105GT",
"VOLVO PENTA","21730344","500105GT",
"VOLVO PENTA","21951342","500121GX",
"VOLVO PENTA","21951344","500116GX",
"VOLVO PENTA","21951346","500107GT",
"VOLVO PENTA","21951348","500107GT",
"VOLVO PENTA","21951348","500189GT",
"VOLVO PENTA","21951350","500170CG",
"VOLVO PENTA","21951352","500178G",
"VOLVO PENTA","21951356","500106GT",
"VOLVO PENTA","21951358","500162G",
"VOLVO PENTA","21951360","500105GT",
"VOLVO PENTA","21951362","500135T",
"VOLVO PENTA","21951364","500145GT",
"VOLVO PENTA","21972908","500100GX",
"VOLVO PENTA","21972908","500100GX",
"PERKINS","24880031","500114T",
"PERKINS","24880178","500103GT",
"PERKINS","24880178","500103GT",
"PERKINS","24880190","500107GT",
"PERKINS","24880194","500156GX",
"PERKINS","24880272","500100GX",
"SOLÈ DIESEL","31211008","500123X",
"SOLÈ DIESEL","32111008","500131X",
"SOLÈ DIESEL","34711008","500106GT",
"SOLÈ DIESEL","35111008","500107GT",
"RENAULT COUACH","48300006","500128",
"RENAULT COUACH","48300007","500128",
"RENAULT COUACH","48300008","500122T",
"RENAULT COUACH","48300037","500127",
"RENAULT COUACH","48300055","500127",
"CUMMINS","879194186","500114T",
"DJ PUMP","001-0801","500106GT",
"DJ PUMP","001-0801N","500206GT",
"DJ PUMP","003-0901","500105GT",
"DJ PUMP","003-1201","500114T",
"DJ PUMP","003-1201","500135T",
"DJ PUMP","008-1001","500157",
"DJ PUMP","08-14-1001","500144",
"DJ PUMP","08-15-0901","500144",
"DJ PUMP","08-15-1001","500153G",
"DJ PUMP","08-16-0901","500153G",
"DJ PUMP","08-19-1201","500164GT",
"DJ PUMP","08-20-1201","500120GT",
"DJ PUMP","08-21-1201","500107GT",
"ONAN","08-21-1201","500107GT",
"DJ PUMP","08-22-1201","500108CGT",
"DJ PUMP","08-30-1201","500186T",
"DJ PUMP","08-31-0601","500121GX",
"DJ PUMP","08-32-1201","500166G",
"DJ PUMP","08-33-1201","500182G",
"DJ PUMP","08-33-1201","500182GX",
"DJ PUMP","08-34-1201","500183G",
"DJ PUMP","08-35-1201","500181G",
"DJ PUMP","08-36-1201","500167G",
"DJ PUMP","08-37-0601","500129",
"DJ PUMP","08-38-1201","500103GT",
"DJ PUMP","08-39-0601","500101GX",
"DJ PUMP","08-39-0601","500146X",
"DJ PUMP","08-40-0801","500155",
"DJ PUMP","08-41-0601","500100GX",
"DJ PUMP","08-46-0801","500102T",
"DJ PUMP","086-0901","500115T",
"DJ PUMP","086-1201","500145GT",
"DJ PUMP","086-901","500145GT",
"DJ PUMP","088-1201","500152",
"JOHNSON PUMP","09-0801B","500170CG",
"JOHNSON PUMP","09-0802B","500115T",
"JOHNSON PUMP","09-0806B","500100GX",
"JOHNSON PUMP","09-0808B","500121GX",
"JOHNSON PUMP","09-0810-B9","500201GX",
"JOHNSON PUMP","09-0810B","500101GX",
"JOHNSON PUMP","09-0812B","500124",
"JOHNSON PUMP","09-0814B","500145GT",
"JOHNSON PUMP","09-1026B","500116GX",
"JOHNSON PUMP","09-1026B-9","500216GX",
"JOHNSON PUMP","09-1027B","500107GT",
"JOHNSON PUMP","09-1027B-9","500207GT",
"JOHNSON PUMP","09-1028B","500106GT",
"JOHNSON PUMP","09-1028B-9","500206GT",
"JOHNSON PUMP","09-1029B","500105GT",
"JOHNSON PUMP","09-1029B-9","500205GT",
"DJ PUMP","09-105-1201","500124",
"DJ PUMP","09-105-1201","500150",
"JOHNSON PUMP","09-1052B","500132",
"JOHNSON PUMP","09-1052S-9","500232",
"DJ PUMP","09-106-1201","500165G",
"DJ PUMP","09-107-0601","500190G",
"JOHNSON PUMP","09-1077B-9","500284G",
"DJ PUMP","09-108-0601","500116GX",
"DJ PUMP","09-201-1001","500148",
"DJ PUMP","09-201-1001","500214T",
"DJ PUMP","09-201-1003","500109T",
"DJ PUMP","09-42-1001","500161",
"DJ PUMP","09-44-1201","500162G",
"DJ PUMP","09-45-1201","500163G",
"DJ PUMP","09-47-0801","500159G",
"DJ PUMP","09-49-1001","500179GX",
"JOHNSON PUMP","09-819B","500135T",
"JOHNSON PUMP","09-820B","500186T",
"JOHNSON PUMP","09-821B","500162G",
"JOHNSON PUMP","09-824","500138",
"JOHNSON PUMP","09-824P-9","500238",
"JOHNSON PUMP","09-827","500129",
"SHERWOOD","10077K","500166G",
"YANMAR","104211-42070","500100GX",
"YANMAR","104211-42071","500100GX",
"YANMAR","104223-42091","500129",
"SHERWOOD","10615K","500120GT",
"YANMAR","119574-42550","500162G",
"YANMAR","119574-42552","500162G",
"YANMAR","119593-42200","500161",
"YANMAR","119593-42202","500161",
"YANMAR","119773-42600-01","500124",
"JABSCO","11979-0001","500155",
"JABSCO","1210-0001","500107GT",
"JABSCO","1210-0003","500207GT",
"YANMAR","124223-42092","500129",
"YANMAR","124310-46090","500108CGT",
"MARINER-MERCURY","12644A1","593206",
"YANMAR","127610-42200","500106GT",
"YANMAR","127610-42200","500114T",
"YANMAR","127610-42270","500107GT",
"YANMAR","128170-42070","500130",
"YANMAR","128176-42071","500113",
