Applications,Company,Tipologia Applicazione
"3.0GL, 3.0GS, 3.0GLM-A/B/C","VOLVO PENTA","Inboard_Engines"
"3.0GLM-A/B/C","VOLVO PENTA","Inboard_Engines"
"3.0GLP-A/B/C","VOLVO PENTA","Inboard_Engines"
"3.0GLP-D, 3.0GLP-E","VOLVO PENTA","Inboard_Engines"
"3.0GLP-J, 3.0GLP-N","VOLVO PENTA","Inboard_Engines"
"3.0GSM-A/B/C","VOLVO PENTA","Inboard_Engines"
"3.0GSMBY","VOLVO PENTA","Inboard_Engines"
"3.0GSMLKD, 3.0GSPLKD","VOLVO PENTA","Inboard_Engines"
"3.0GSMNCA, 3.0GSMNCS","VOLVO PENTA","Inboard_Engines"
"3.0GSMWTR, 3.0GSMWTS","VOLVO PENTA","Inboard_Engines"
"3.0GSP-A/B/C","VOLVO PENTA","Inboard_Engines"
"3.0GSPBY","VOLVO PENTA","Inboard_Engines"
"3.0GSPNCA, 3.0GSPNCS","VOLVO PENTA","Inboard_Engines"
"3.0GSPWTR, 3.0GSPWTS","VOLVO PENTA","Inboard_Engines"
"4,3L, GL,GS, GI, GXI, OSI","VOLVO PENTA","Inboard_Engines"
"4.3GIJBYA, 4.3GIJWTR","VOLVO PENTA","Inboard_Engines"
"4.3GIPBYCCE","VOLVO PENTA","Inboard_Engines"
"4.3GiPEFS","VOLVO PENTA","Inboard_Engines"
"4.3GIPEFS","VOLVO PENTA","Inboard_Engines"
"4.3GIPHUSCE","VOLVO PENTA","Inboard_Engines"
"4.3GIPLKDCE, 4.3GIPLKECE","VOLVO PENTA","Inboard_Engines"
"4.3GIPNCACE","VOLVO PENTA","Inboard_Engines"
"4.3GIPNCBCE, 4.3GIPNCMCE, 4.3GIPNCSCE","VOLVO PENTA","Inboard_Engines"
"4.3GIPWTC, 4.3GIPWTR","VOLVO PENTA","Inboard_Engines"
"4.3GL-A/B/C/D, 4.3GS, 4.Gi","VOLVO PENTA","Inboard_Engines"
"4.3GL-E, 4.3GL-EF","VOLVO PENTA","Inboard_Engines"
"4.3GL-G, 4.3GL-GF","VOLVO PENTA","Inboard_Engines"
"4.3GLMMDA","VOLVO PENTA","Inboard_Engines"
"4.3GLPBYC","VOLVO PENTA","Inboard_Engines"
"4.3GLPEFS","VOLVO PENTA","Inboard_Engines"
