"Codice JMP","Codice CEF","Brand OEM","Codice OEM"
"7100K","500107","Caterpillar","232-3198"
"7100K","500107","Jabsco","1210-0001"
"7100K","500107","Jabsco","1210-0001-P"
"7100K","500107","Johnson","08-1027B"
"7100K","500107","Johnson","09-1027B"
"7100K","500107","Volvo Penta","825940"
"7100K","500107","Volvo Penta","829940"
"7100K","500107","Volvo Penta","860203"
"7100K","500107","Volvo Penta","875811"
"7100K","500107","Volvo Penta","8758112"
"7100K","500107","Volvo Penta","876243"
"7100K","500107","Volvo Penta","877400"
"7100K","500107","Volvo Penta","925940"
"7100K","500107","Volvo Penta","3858256"
"7100K","500107","Volvo Penta","856039"
"7100K","500107","Volvo Penta","3856039-7"
"7100K","500107","Volvo Penta","3855546"
"7100K","500107","Volvo Penta","862567"
"7100K","500107","Volvo Penta","3862465"
"7100K","500107","Volvo Penta","1951346"
"7100K","500107","Yanmar","129470-42530"
"7100K","500107","Yanmar","129470-42531"
"7100K","500107","Yanmar","129470-42532"
"7100K","500107","Yanmar","129670-42530"
"7100K","500107","Yanmar","129670-42531"
"7100K","500107","Detroit Diesel","5194205"
"7100K","500107","Ancor","2040"
"7100K","500107","Ancor","J050407"
"7100K","500107","Onan","131-0050"
"7100K","500107","Onan","132-0162"
"7100K","500107","Northern Lights","12-12060"
"7100K","500107","Northern Lights","25-12060"
"7100K","500107","Perkins","0460038"
"7100K","500107","Perkins","24880190"
"7100K","500107","Sierra","18-3081"
"7100K","500107","Vetus","IMP00201"
"7100K","500107","Westerbeke","302571"
"7100K","500107","Nikkiso","F15CBC"
"7100K","500107","Kashiyama","KP-30"

"8100K","500135","Caterpillar","5L6042"
"8100K","500135","Caterpillar","5N9360"
"8100K","500135","Caterpillar","W9046"
"8100K","500135","Johnson","09-819B"
"8100K","500135","Volvo Penta","807904"
"8100K","500135","Volvo Penta","825942"
"8100K","500135","Volvo Penta","875660"
"8100K","500135","Volvo Penta","875736"
"8100K","500135","Volvo Penta","857636-1"
"8100K","500135","Volvo Penta","877066"
"8100K","500135","Volvo Penta","21730344"
"8100K","500135","Volvo Penta","21951362"
"8100K","500135","Ancor","J050035"
"8100K","500135","Detroit Diesel","5193553"
"8100K","500135","Detroit Diesel","5196628"
"8100K","500135","Detroit Diesel","8924838"
"8100K","500135","Onan","500135"
"8100K","500135","Perkins","7054"

"7400K","???","Doosan","65.06084-0003"
"7400K","???","Jabsco","920-0001"
"7400K","???","Johnson","09-1028B"
"7400K","???","Johnson","09-1028B-1"
"7400K","???","Johnson","09-1028BT-1"
"7400K","???","Sherwood","18200"
"7400K","???","Sherwood","18200K"
"7400K","???","Cummins","650607"
"7400K","???","Volvo Penta","801277"
"7400K","???","Volvo Penta","825941"
"7400K","???","Volvo Penta","877061"
"7400K","???","Volvo Penta","875593"
"7400K","???","Volvo Penta","3841697"
"7400K","???","Volvo Penta","20799057"
"7400K","???","Volvo Penta","21422647"
"7400K","???","Volvo Penta","21951356"
"7400K","???","Yanmar","123325-42020"
"7400K","???","Yanmar","127610-42200"
"7400K","???","Yanmar","127610-42270"
"7400K","???","Yanmar","120650-42310"
"7400K","???","Caterpillar","2637536"
"7400K","???","Caterpillar","263-7536"
"7400K","???","Detroit Diesel","5193602"
"7400K","???","Detroit Diesel","5196629"
"7400K","???","John Deere","RE49490"
"7400K","???","Kohler","352122"
"7400K","???","Northern Lights","25-11011"
"7400K","???","Onan","132-0436"
"7400K","???","Perkins","0460024"
"7400K","???","Perkins","24880031"
"7400K","???","Perkins","24880178"
"7400K","???","Sierra","23-3308"
"7400K","???","Sierra","23-3309"
"7400K","???","Nikkiso","F20CBC"
"7400K","???","Kashiyama","SP-70"

"8300K","???","Caterpillar","3N1888"
"8300K","???","Caterpillar","3N4859"
"8300K","???","Cummins","217308"
"8300K","???","Detroit Diesel","8927570"
"8300K","???","Doosan","60.06804-0011"

"8459K","???","Caterpillar","3228595"
"8459K","???","Sherwood","30000"
"8459K","???","Sherwood","30000K"
"8459K","???","Cummins","3228595"

"7608K","500135","Caterpillar","5N9360"
"7608K","500135","Sherwood","2700"
"7608K","500135","Sherwood","2700K"
"7608K","500135","Cummins","3974456"

"8359K","???","Caterpillar","2968388"
"8359K","???","Sherwood","29000"
"8359K","???","Sherwood","29000K"
"8359K","???","John Deere","DZ108622"
