Applications,Cef,NBR Version,Kit CEF,Remarks,Company,Tipologia Applicazione
DF150 (2006),500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
"DF150T (2006-2011, 2013-2018)",500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
DF150A (2019),500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
"DF150AT (2020-2022, 2024)",500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
"DF150AZ (2021-2022, 2024)",500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
"DF150AP (2017-2022, 2024)",500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
DF175 (2006),500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
"DF175T (2006-2011, 2013-2018)",500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
DF175A (2019),500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
"DF175AT (2020-2022, 2024)",500367,,,Water Pump Repair Kit (OEM Impeller #17461-90J01-000),SUZUKI,Outboard
DF9.9 (2004-2011),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DF15 (2004-2012),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DT9.9S (1986-2000),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DT15S (1986-2000),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DF9.9 (1996-2006),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DF15 (1996-2006),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DT8/DT9.9 (1988-1997),,,,Water Pump Repair Kit (OEM Impeller #To be identified),SUZUKI,Outboard
DF25 V2 (2006-2013),500362,,,Water Pump Repair Kit (OEM Impeller #17461-96312-000),SUZUKI,Outboard
DF8A (2012-2024),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DF8AR (2021-2024),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DF9.9A (2012-2024),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DF9.9B (2013-2024),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DF9.9BR (2021-2024),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DF9.9BT (2021-2022),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DF15A (2013-2024),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DF15AR (2021-2024),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
DF15AT (2021-2024),500329,,,Water Pump Repair Kit (OEM Impeller #17461-939M0-000),SUZUKI,Outboard
