Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
"  1 1/2, 2 HP (1967-1984)",500369,,,,EVINRUDE - JOHNSON,Outboard_Engines
"1.5, 2 HP (1968-1990)",500358,,,,EVINRUDE - JOHNSON,Outboard_Engines
1.6L seadrives (1982 >),500305,,,Through hub exhaust/Scarico da bussola,EVINRUDE - JOHNSON,Outboard_Engines
1.6L SEADRIVES (1982-1994),500308CR,,BK0003,Except 1987 counter rotation/Tranne 1987 rotazione inversa,EVINRUDE - JOHNSON,Outboard_Engines
"2,0, 2,3  (1991-2001)",500396,,,,EVINRUDE - JOHNSON,Outboard_Engines
"2,3L HP SEADRIVE (1982-1994)",500308CR,,BK0003,,EVINRUDE - JOHNSON,Outboard_Engines
2.3L seadrives (1982 >),500305,,,Except 1987 counter rotation/Tranne 1987 rotazione inversa,EVINRUDE - JOHNSON,Outboard_Engines
"2.5, 3, 4 ultra excel",500332,,,,EVINRUDE - JOHNSON,Outboard_Engines
3 HP (1957-1968),500350,,,,EVINRUDE - JOHNSON,Outboard_Engines
3 HP (1991-2001),500396,,,,EVINRUDE - JOHNSON,Outboard_Engines
4 HP (110 Gearcase) (1973-1983),500350,,,,EVINRUDE - JOHNSON,Outboard_Engines
4 HP (1969-1982),500350,,,Weedless drive/Guida senza alghe,EVINRUDE - JOHNSON,Outboard_Engines
4 HP (90°) (1973-1980),500358,,,,EVINRUDE - JOHNSON,Outboard_Engines
4 HP (90°) (1981-1990),500354G,,,,EVINRUDE - JOHNSON,Outboard_Engines
4 HP (90°) Gearcase (1973-1975),500369,,,,EVINRUDE - JOHNSON,Outboard_Engines
5 HP (1965-1968),500350,,,,EVINRUDE - JOHNSON,Outboard_Engines
5.5 HP (1957-1964),500350,,,,EVINRUDE - JOHNSON,Outboard_Engines
5-6 HP (1998 >),500354G,,,4 strokes/4 tempi,EVINRUDE - JOHNSON,Outboard_Engines
6 HP (1965-1978),500350,,,,EVINRUDE - JOHNSON,Outboard_Engines
6 HP (1979),500358,,,,EVINRUDE - JOHNSON,Outboard_Engines
"6-8-4,5-7 HP and 4 Deluxe (1980)",500354G,,,,EVINRUDE - JOHNSON,Outboard_Engines
7.5 HP (1957-1958),500350,,,,EVINRUDE - JOHNSON,Outboard_Engines
"8, 9.9, 15 HP (<-1994)",500355,,BK0009,4 strokes/4 tempi,EVINRUDE - JOHNSON,Outboard_Engines
"8, 9.9, 15 HP (1994->)",500355,,BK0008,4 strokes/4 tempi,EVINRUDE - JOHNSON,Outboard_Engines
"9,5 HP (1964-1973)",500349,,,,EVINRUDE - JOHNSON,Outboard_Engines
9.9 HP (<-1974),500355,,BK0009,4 strokes/4 tempi,EVINRUDE - JOHNSON,Outboard_Engines
9.9 HP (1974->),500355,,BK0008,4 strokes/4 tempi,EVINRUDE - JOHNSON,Outboard_Engines
10 HP (1949-1957),500351,,,,EVINRUDE - JOHNSON,Outboard_Engines
10 HP (1958-1963),500349,,,,EVINRUDE - JOHNSON,Outboard_Engines
15 HP (1956-1973),500351,,,,EVINRUDE - JOHNSON,Outboard_Engines
15 HP (1974-1980),500355,,,,EVINRUDE - JOHNSON,Outboard_Engines
15 HP (1981-1989),500355,,,,EVINRUDE - JOHNSON,Outboard_Engines
15 HP (1990->),500355,,,,EVINRUDE - JOHNSON,Outboard_Engines
18 HP (1956-1973),500351,,,,EVINRUDE - JOHNSON,Outboard_Engines
20 HP (1966-1978),500351,,,,EVINRUDE - JOHNSON,Outboard_Engines
20 HP (1978-1984),500370C,,BK0005,,EVINRUDE - JOHNSON,Outboard_Engines
20 HP (1985-2002),500370C,,BK0001,,EVINRUDE - JOHNSON,Outboard_Engines
25 HP  (old model/modello vecchio),500357G,,,,EVINRUDE - JOHNSON,Outboard_Engines
25 HP (1951-1955),500366,,,,EVINRUDE - JOHNSON,Outboard_Engines
25 HP (1966-1978),500351,,,,EVINRUDE - JOHNSON,Outboard_Engines
25 HP (1978-1984),500370C,,BK0005,,EVINRUDE - JOHNSON,Outboard_Engines
25 HP (1985-2005),500370C,,BK0001,,EVINRUDE - JOHNSON,Outboard_Engines
25 HP (comm) (1998-02),500370C,,BK0001,,EVINRUDE - JOHNSON,Outboard_Engines
25 HP (old model/modello vecchio),500357G,,,,EVINRUDE - JOHNSON,Outboard_Engines
"25, 35 (3cyl) (1995-2002)",500370C,,,,EVINRUDE - JOHNSON,Outboard_Engines
28 HP (1962-1964),500366,,,,EVINRUDE - JOHNSON,Outboard_Engines
"28, 14 (comm) (1985-97)",500370C,,BK0005,,EVINRUDE - JOHNSON,Outboard_Engines
30 HP (1951-1957),500366,,,,EVINRUDE - JOHNSON,Outboard_Engines
30 HP (1985-1997),500370C,,BK0001,,EVINRUDE - JOHNSON,Outboard_Engines
"30, 35  (2 cyl) (1983->)",500370C,,BK0001,,EVINRUDE - JOHNSON,Outboard_Engines
"30, 35 (1980-1982)",500370C,,BK0001,,EVINRUDE - JOHNSON,Outboard_Engines
33 HP (1962-1971),500366,,,,EVINRUDE - JOHNSON,Outboard_Engines
35 HP (1951-1957),500366,,,,EVINRUDE - JOHNSON,Outboard_Engines
35 HP (1976-1977),500374,,,,EVINRUDE - JOHNSON,Outboard_Engines
35 HP (1978-1979),500370C,,,,EVINRUDE - JOHNSON,Outboard_Engines
35 HP (1980-1997),500370C,,BK0001,,EVINRUDE - JOHNSON,Outboard_Engines
35 HP w/Thermostart (1958-1959),500352,,,,EVINRUDE - JOHNSON,Outboard_Engines
40 HP (1960-1970),500352,,,,EVINRUDE - JOHNSON,Outboard_Engines
40 HP (1971-1973),500366,,,,EVINRUDE - JOHNSON,Outboard_Engines
40 HP (1974-1976),500353,,,,EVINRUDE - JOHNSON,Outboard_Engines
40 HP (1984-1988),500346C,,,,EVINRUDE - JOHNSON,Outboard_Engines
40 HP (1989 -1994),500372C,,,,EVINRUDE - JOHNSON,Outboard_Engines
40 HP comm. (1981-1990),500353,,,,EVINRUDE - JOHNSON,Outboard_Engines
"40 HP comm. (RP, RW) (1993-1994)",500346C,,,,EVINRUDE - JOHNSON,Outboard_Engines
40 HP comm. (RP.RW) (1995-2002),500373C,,,,EVINRUDE - JOHNSON,Outboard_Engines
40 HP comm. (RS) (1991-2002),500373C,,,,EVINRUDE - JOHNSON,Outboard_Engines
40-48-50 HP (1989-2002),500373C,,,,EVINRUDE - JOHNSON,Outboard_Engines
40-50 HP (1995-1995),500373C,,,,EVINRUDE - JOHNSON,Outboard_Engines
40-50-55-60 HP (1979-1985),500345,,,,EVINRUDE - JOHNSON,Outboard_Engines
