Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
5HP,500327,,,M-X series later version/ultima versione,HONDA,Outboard_Engines
5HP BF50,500327,,,F,HONDA,Outboard_Engines
5HP BF5A,500327,,,H-K,HONDA,Outboard_Engines
7.5HP BF75,500327,,,A-B-C-D-E-F,HONDA,Outboard_Engines
8/10 HP,500347,,,Power Trust (2000),HONDA,Outboard_Engines
8/10 HP,500348,,,2000,HONDA,Outboard_Engines
8HP,500327,,,AH-AK,HONDA,Outboard_Engines
8HP,500343,,,C-CX,HONDA,Outboard_Engines
9.9 HP BF,500328,,,AH-AK-AM-H-K-M,HONDA,Outboard_Engines
9.9HP,500343,,,AM-AX-B-BX-M,HONDA,Outboard_Engines
15 HP BF,500328,,,AH-AK-AM-H-K-M,HONDA,Outboard_Engines
15HP,500343,,,AM-AX-B-BX-M,HONDA,Outboard_Engines
20 HP,500339,,,A-AX,HONDA,Outboard_Engines
25 HP,500339,,,A-AX,HONDA,Outboard_Engines
30 HP,500339,,,A-AX,HONDA,Outboard_Engines
35 HP,500338,,,AM,HONDA,Outboard_Engines
40 HP,500338,,,A-AX-B-BX,HONDA,Outboard_Engines
45 HP,500338,,,AM,HONDA,Outboard_Engines
50 HP,500338,,,A-AX,HONDA,Outboard_Engines
60 HP,500338,,,BF 60 (A),HONDA,Outboard_Engines
75 HP,500301N,,,AT,HONDA,Outboard_Engines
75 HP,500337,,,AV-AX 1999>,HONDA,Outboard_Engines
90 HP,500301N,,,AT,HONDA,Outboard_Engines
90 HP,500337,,,AV-AX 1999 >,HONDA,Outboard_Engines
10HP BF100,500327,,,A-B-C-D-E-F,HONDA,Outboard_Engines
115 HP,500337,,,1999>,HONDA,Outboard_Engines
130 HP,500337,,,1999>,HONDA,Outboard_Engines
135 HP,500337,,,2004 >,HONDA,Outboard_Engines
150 HP,500337,,,2004 >,HONDA,Outboard_Engines
200/225 HP,500391,,,4 strokes/4 tempi,HONDA,Outboard_Engines
BF5DH LHNA 5 HP,-,,,dal 2016,HONDA,Outboard_Engines
BF8DK3 LHA 8 HP,500348,,,2017–oggi,HONDA,Outboard_Engines
BF15D3 SHU 15 HP,500348,,,2011–oggi,HONDA,Outboard_Engines
BF20D3 LRT 20 HP,500348,,,2011–oggi,HONDA,Outboard_Engines
BF40DK4 LRT 40 HP,500338,,,dal ~2017,HONDA,Outboard_Engines
BF50DK4 LRTA 50 HP,500338,,,dal ~2017,HONDA,Outboard_Engines
BF60AK1 LRTA 60 HP,500338,,,~2015–oggi,HONDA,Outboard_Engines
BF50F LA 50 HP,500327,,,~2021–oggi,HONDA,Outboard_Engines
BF75DK4 LRTA 75 HP,500337,,,~2017–oggi,HONDA,Outboard_Engines
BF90DK4 LRT 90 HP,500337,,,~2017–oggi,HONDA,Outboard_Engines
BF115J LRA 115 HP,500337,,,dal 2022,HONDA,Outboard_Engines
BF140A LDA 140 HP,500337,,,dal 2022,HONDA,Outboard_Engines
BF150D XRA 150 HP,500337,,,dal 2022,HONDA,Outboard_Engines
BF200D LRA 200 HP,500391,,,2018–oggi,HONDA,Outboard_Engines
BF225D LRA 225 HP,500391,,,2018–oggi,HONDA,Outboard_Engines
