Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
pump/pompa F4B/6M (10-24074-1),500116GX,500216GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B/F4B-8 (10-24074-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B/F4B-8 (10-24165-2),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B/F4B-9 (10-24166-1),500116GX,500216GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B/F4B-9 (10-31917-1),500116GX,500216GX,RK0006,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B/F4B-9 (10-35098-2),500116GX,500216GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-4 (10-24074-1),500116GX,500216GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8 (10-24074-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8 (10-24074-13),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8 (10-24074-14),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8 (10-24164-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8 (10-24164-2),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8001 (10-24074-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8007 (10-24074-7),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8007 (10-24074-71),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-802 (10-24074-3),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8021 (10-24074-3),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8027 (10-24074-9),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-803 (10-24074-5),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8031 (10-24074-5),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-8037 (10-24074-11),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24144-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24144-2),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24165-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24166-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24214-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24214-4),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24290-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24321-01),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24326-01),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24335-01),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24341-01),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24465-01),500116GX,500216GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-24514-01),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-32588-1),500116GX,500216GX,RK0006,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35024-1),500116GX,500216GX,RK0006,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35064-1),500116GX,500216GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35094-1),500116GX,500216GX,RK0006,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35098-1),500116GX,500216GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35098-2),500116GX,500216GX,RK0006,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35098-3),500116GX,500216GX,RK0006,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35098-4),500116GX,500216GX,RK0006,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35142-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35157-3),500100GX,500200GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35161-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35167-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35205-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35216-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35240-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35241-1),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35333-01),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35355-01),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-9 (10-35725-01),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-902 (10-24509-02),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-902 (10-35167-2),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-902 (10-35241-2),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-903 (10-24165-2),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-903 (10-24166-2),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-903 (10-24214-2),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-903 (10-24463-01),500116GX,500216GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-903 (10-24509-01),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F4B-903 (10-35142-2),500101GX,500201GX,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-3 (10-24210-1),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-3000 (10-24210-1),500107GT,500207GT,RK0005,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-3007 (10-24210-5),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-302 (10-24210-3),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-3020 (10-24210-3),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-8 (10-24073-1),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-8 (10-24073-10),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-8 (10-24073-11),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-8 (10-24073-12),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-8 (10-24073-9),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-8007 (10-24073-51),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-9 (10-24100-1),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-9 (10-24119-2),500107GT,500207GT,RK0005,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-9 (10-24119-3),500107GT,500207GT,RK0005,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-9 (10-24119-4),500107GT,500207GT,RK0005,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-9 (10-24119-7),500107GT,500207GT,RK0005,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-9 (10-24119-8),500107GT,500207GT,RK0005,,JOHNSON PUMP,Inboard_Engines
pump/pompa F5B-9 (10-24140-1),500107GT,500207GT,,,JOHNSON PUMP,Inboard_Engines
