Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
8E (SN 296898 and Below),500129,,,,KOHLER,Generator_Impellers
8E (SN 296899 and Up),500165G,,,,KOHLER,Generator_Impellers
10E (SN 296898 and Below),500129,,,,KOHLER,Generator_Impellers
10E (SN 296899 and Up),500165G,,,,KOHLER,Generator_Impellers
12.5E (SN 296898 and Below),500129,,,,KOHLER,Generator_Impellers
12.5CF (SN 296898 and Below),500129,,,,KOHLER,Generator_Impellers
12.5E (SN 296899 and Up),500165G,,,,KOHLER,Generator_Impellers
12.5CF (SN 296899 and Up),500165G,,,,KOHLER,Generator_Impellers
15C,500165G,,,,KOHLER,Generator_Impellers
16CF,500165G,,,,KOHLER,Generator_Impellers
20C,500165G,,,,KOHLER,Generator_Impellers
