Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
1A/1B/1C (1684188 - 1777798),500522K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
1A/1B/1C (EZ shift) (1776349 - 2065189),500522K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
2.8L (1998 and up),500106GT,,,,MERCRUISER ,Inboard_Engines
4.3L/LH (1998 and up),500109T,,,,MERCRUISER ,Inboard_Engines
4.3L/LH (1998),500532,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
"4.3l EFI, 262 Mag",500532,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
4.3LX/LXH (1996-97),500532,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
5.0L (1998 and up),500109T,,,,MERCRUISER ,Inboard_Engines
5.7L (1998 and up),500109T,,,,MERCRUISER ,Inboard_Engines
5.7EFI (1998 and up),500109T,,,,MERCRUISER ,Inboard_Engines
5.7L (SKI) - (A338553 - B514626),500507,,,Engine/Motore (dia.4”) +,MERCRUISER ,Inboard_Engines
5.7L (SKI) - (A338553 - B514626),500508,,,Engine/Motore (dia.4”) -,MERCRUISER ,Inboard_Engines
6.2L (1998 and up),500109T,,,,MERCRUISER ,Inboard_Engines
8.1S HO,500159G,,,,MERCRUISER ,Inboard_Engines
8.1S Horizon,500159G,,,,MERCRUISER ,Inboard_Engines
120 (2.5L) - (6229718 >),500507,,,Engine/Motore (dia.4”) -,MERCRUISER ,Inboard_Engines
120 (2.5L) - (6229718 >),500511,,,Engine/Motore (dia.3”) -,MERCRUISER ,Inboard_Engines
120 (2.5L) - (6229718 >),500523,,,Engine/Motore (dia.3”) +,MERCRUISER ,Inboard_Engines
120 (2.5L) (3469428 >),500512K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
120 (2.5L) (3469428 >),500513K,,,Stern drive/Gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
120 (2.5L) (3469428 >),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
120 (2.5L) (3469428 >),500520K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
120/140 (2062141 - 3469427),500512K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
120/140 (2062141 - 3469427),500513K,,,Stern drive/Gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
120/140 (2062141 - 3469427),500520K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
120/140 (3.0L) (3469428-6225576),500512K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
120/140 (3.0L) (3469428-6225576),500513K,,,Stern drive/Gruppo poppiero (shift cable/tirante cambio),MERCRUISER ,Inboard_Engines
120/140 (3.0L) (3469428-6225576),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),MERCRUISER ,Inboard_Engines
120/140 (3.0L) (3469428-6225576),500520K,,,Stern drive/Gruppo poppiero (exhaust/scappamento),MERCRUISER ,Inboard_Engines
140  (3332138-6229717),500524,,,Engine/Motore +,MERCRUISER ,Inboard_Engines
