Id,Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione
1222,2.5L-4.3L-5.0L (all clutch),500317,,SK0001,,OMC STERNDRIVE/COBRA,Inboard_Engines
1223,4 HP (90°) Gearcase (1973-1975),500369,,,,OMC STERNDRIVE/COBRA,Inboard_Engines
1224,4.3-4.31L-5.01L,501003K,,,Cooling hose/Manicotto acqua,OMC STERNDRIVE/COBRA,Inboard_Engines
1225,5.7L & 7.5L (1986 >),500521,,,,OMC STERNDRIVE/COBRA,Inboard_Engines
1226,5.7L/3.0L (dog cobra),500317,,SK0001,,OMC STERNDRIVE/COBRA,Inboard_Engines
1227,7.5L (except 2.3),500317,,SK0001,,OMC STERNDRIVE/COBRA,Inboard_Engines
1228,cobra drivers all/tutti (>1993),500527K,,,,OMC STERNDRIVE/COBRA,Inboard_Engines
1229,cobra drivers all/tutti (1993 >),500514K,,,,OMC STERNDRIVE/COBRA,Inboard_Engines
1230,cobra drives 3.0 L upper gear,500394,,,,OMC STERNDRIVE/COBRA,Inboard_Engines
1231,cobra all/tutti,500506,,,Shift cable/Tirante cambio,OMC STERNDRIVE/COBRA,Inboard_Engines
1232,Sail Draive,500366,,,,OMC STERNDRIVE/COBRA,Inboard_Engines
