Id,Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
1239,pump/pompa A03,500103GT,,,,SHERWOOD,Inboard_Engines
1240,pump/pompa A16,500103GT,,,,SHERWOOD,Inboard_Engines
1241,pump/pompa A20,500166G,,,,SHERWOOD,Inboard_Engines
1242,pump/pompa B04,500120GT,,,,SHERWOOD,Inboard_Engines
1243,pump/pompa B06,500103GT,,,,SHERWOOD,Inboard_Engines
1244,pump/pompa C03,500120GT,,,,SHERWOOD,Inboard_Engines
1245,pump/pompa D05,500120GT,,,,SHERWOOD,Inboard_Engines
1246,pump/pompa D55,500103GT,,,,SHERWOOD,Inboard_Engines
1247,pump/pompa D55,500120GT,,,,SHERWOOD,Inboard_Engines
1248,pump/pompa D60,500103GT,,,,SHERWOOD,Inboard_Engines
1249,pump/pompa D65,500103GT,,,,SHERWOOD,Inboard_Engines
1250,pump/pompa D75,500103GT,,,,SHERWOOD,Inboard_Engines
1251,pump/pompa E05,500166G,,,,SHERWOOD,Inboard_Engines
1252,pump/pompa E20,500166G,,,,SHERWOOD,Inboard_Engines
1253,pump/pompa E35,500120GT,,,,SHERWOOD,Inboard_Engines
1254,pump/pompa F10,500120GT,,,,SHERWOOD,Inboard_Engines
1255,pump/pompa F15,500103GT,,,,SHERWOOD,Inboard_Engines
1256,pump/pompa F75,500120GT,,,,SHERWOOD,Inboard_Engines
1257,pump/pompa F85,500103GT,,,,SHERWOOD,Inboard_Engines
1258,pump/pompa F95,500120GT,,,,SHERWOOD,Inboard_Engines
1259,pump/pompa G1,500103GT,,,,SHERWOOD,Inboard_Engines
1260,pump/pompa G1004,500120GT,,,,SHERWOOD,Inboard_Engines
1261,pump/pompa G1005,500120GT,,,,SHERWOOD,Inboard_Engines
1262,pump/pompa G1006,500120GT,,,,SHERWOOD,Inboard_Engines
1263,pump/pompa G1006-01,500120GT,,,,SHERWOOD,Inboard_Engines
1264,pump/pompa G1008-01,500120GT,,,,SHERWOOD,Inboard_Engines
1265,pump/pompa G11,500165G,,,,SHERWOOD,Inboard_Engines
1266,pump/pompa G15,500103GT,,,,SHERWOOD,Inboard_Engines
1267,pump/pompa G1503-01,500167G,,,,SHERWOOD,Inboard_Engines
1268,pump/pompa G151,500167G,,,,SHERWOOD,Inboard_Engines
1269,pump/pompa G155,500167G,,,,SHERWOOD,Inboard_Engines
1270,pump/pompa G157,500167G,,,,SHERWOOD,Inboard_Engines
1271,pump/pompa G1801,500182GX,,,CEF Puller Required/Richiede Estrattore CEF,SHERWOOD,Inboard_Engines
1272,pump/pompa G1804,500182GX,,,CEF Puller Required/Richiede Estrattore CEF,SHERWOOD,Inboard_Engines
1273,pump/pompa G1805,500182GX,,,CEF Puller Required/Richiede Estrattore CEF,SHERWOOD,Inboard_Engines
1274,pump/pompa G1806,500182GX,,,CEF Puller Required/Richiede Estrattore CEF,SHERWOOD,Inboard_Engines
1275,pump/pompa G1806-1,500182GX,,,CEF Puller Required/Richiede Estrattore CEF,SHERWOOD,Inboard_Engines
1276,pump/pompa G1807,500182GX,,,CEF Puller Required/Richiede Estrattore CEF,SHERWOOD,Inboard_Engines
1277,pump/pompa G1807-1,500182GX,,,CEF Puller Required/Richiede Estrattore CEF,SHERWOOD,Inboard_Engines
