Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
150 (165HP),500106GT,,,,SOLE',Inboard_Engines
mini-11-17-23-26-34-48,500123X,,,,SOLE',Inboard_Engines
mini-11 (11HP),500131X,,,,SOLE',Inboard_Engines
mini-17 (16HP),500131X,,,,SOLE',Inboard_Engines
mini-26 (25HP),500131X,,,,SOLE',Inboard_Engines
mini-34 (31HP),500131X,,,,SOLE',Inboard_Engines
mini-48 (45HP),500131X,,,,SOLE',Inboard_Engines
mini-50,500107GT,,,,SOLE',Inboard_Engines
SM-75 (72HP),500106GT,,,,SOLE',Inboard_Engines
SM-90 (88HP),500106GT,,,,SOLE',Inboard_Engines
HS-121 (115HP),500106GT,,,,SOLE',Inboard_Engines
HS-270 (270HP),500106GT,,,,SOLE',Inboard_Engines
