Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
2 HP,500377,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
2.5 HP,500377,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
"2.5A, 3.5A, 3.5B",500396,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
3.5 HP,500377,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
4-5 HP,500377,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
4-5-6 HP,500377,,,4 strokes/4 tempi,TOHATSU,Outboard_Engines
"6-8-9,8 HP",500344,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
"9,9-15-18 HP",500383,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
15-18HP,500383,,,4 strokes/4 tempi,TOHATSU,Outboard_Engines
20 HP,500383,,,4 strokes/4 tempi,TOHATSU,Outboard_Engines
25-30 HP,500382,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
35 HP,500382,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
40-50 HP,500379,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
60-70-90 HP,500388,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
115-120-140 HP,500388,,,2 strokes/2 tempi,TOHATSU,Outboard_Engines
