Id,Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione
1468,C4/6,500106GT,,,,VETUS,Inboard_Engines
1469,K3/K4/3D,500146X,,,,VETUS,Inboard_Engines
1470,L2/L3,500146X,,,,VETUS,Inboard_Engines
1471,M 2.05,500146X,,,,VETUS,Inboard_Engines
1472,M 3.10,500146X,,,,VETUS,Inboard_Engines
1473,M 4.14,500107GT,,,,VETUS,Inboard_Engines
1474,P 4.25,500106GT,,,,VETUS,Inboard_Engines
1475,STM 6514,500107GT,,,,VETUS,Inboard_Engines
1476,36-22-11,500107GT,,,,VETUS,Inboard_Engines
1477,42-36 Series/Serie,500107GT,,,,VETUS,Inboard_Engines
1478,43D,500146X,,,,VETUS,Inboard_Engines
1479,52-34 Series/Serie,500107GT,,,,VETUS,Inboard_Engines
1480,DT43,500107GT,,,,VETUS,Inboard_Engines
1481,DTA43,500107GT,,,,VETUS,Inboard_Engines
1482,DT64,500106GT,,,,VETUS,Inboard_Engines
1483,DTA64,500106GT,,,,VETUS,Inboard_Engines
1484,DT67,500106GT,,,,VETUS,Inboard_Engines
1485,DTA67,500106GT,,,,VETUS,Inboard_Engines
