Id,Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione
1486,3.0GL,500107GT,,,,VOLVO PENTA,Inboard_Engines
1486,3.0GS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1486,3.0GLM-A,500107GT,,,,VOLVO PENTA,Inboard_Engines
1486,3.0GLM-B,500107GT,,,,VOLVO PENTA,Inboard_Engines
1486,3.0GLM-C,500107GT,,,,VOLVO PENTA,Inboard_Engines
1487,3.0GLM-A,500189GT,,,,VOLVO PENTA,Inboard_Engines
1487,3.0GLM-B,500189GT,,,,VOLVO PENTA,Inboard_Engines
1487,3.0GLM-C,500189GT,,,,VOLVO PENTA,Inboard_Engines
1488,3.0GLP-A,500189GT,,,,VOLVO PENTA,Inboard_Engines
1488,3.0GLP-B,500189GT,,,,VOLVO PENTA,Inboard_Engines
1488,3.0GLP-C,500189GT,,,,VOLVO PENTA,Inboard_Engines
1489,3.0GLP-D,500178G,,,,VOLVO PENTA,Inboard_Engines
1489,3.0GLP-E,500178G,,,,VOLVO PENTA,Inboard_Engines
1490,3.0GLP-J,500178G,,,,VOLVO PENTA,Inboard_Engines
1490,3.0GLP-N,500178G,,,,VOLVO PENTA,Inboard_Engines
1491,3.0GSM-A,500189GT,,,,VOLVO PENTA,Inboard_Engines
1491,3.0GSM-B,500189GT,,,,VOLVO PENTA,Inboard_Engines
1491,3.0GSM-C,500189GT,,,,VOLVO PENTA,Inboard_Engines
1492,3.0GSMBY,500107GT,,,,VOLVO PENTA,Inboard_Engines
1493,3.0GSMLKD,500107GT,,,,VOLVO PENTA,Inboard_Engines
1493,3.0GSPLKD,500107GT,,,,VOLVO PENTA,Inboard_Engines
1494,3.0GSMNCA,500107GT,,,,VOLVO PENTA,Inboard_Engines
1494,3.0GSMNCS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1495,3.0GSMWTR,500107GT,,,,VOLVO PENTA,Inboard_Engines
1495,3.0GSMWTS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1496,3.0GSP-A,500189GT,,,,VOLVO PENTA,Inboard_Engines
1496,3.0GSP-B,500189GT,,,,VOLVO PENTA,Inboard_Engines
1496,3.0GSP-C,500189GT,,,,VOLVO PENTA,Inboard_Engines
1497,3.0GSPBY,500107GT,,,,VOLVO PENTA,Inboard_Engines
1498,3.0GSPNCA,500107GT,,,,VOLVO PENTA,Inboard_Engines
1498,3.0GSPNCS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1499,3.0GSPWTR,500107GT,,,,VOLVO PENTA,Inboard_Engines
1499,3.0GSPWTS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1500,4.3L,500534,,,Exhaust bellow/Soffietto scarico,VOLVO PENTA,Inboard_Engines
1500,4.3GL,500534,,,Exhaust bellow/Soffietto scarico,VOLVO PENTA,Inboard_Engines
1500,4.3GS,500534,,,Exhaust bellow/Soffietto scarico,VOLVO PENTA,Inboard_Engines
1500,4.3GI,500534,,,Exhaust bellow/Soffietto scarico,VOLVO PENTA,Inboard_Engines
1500,4.3GXI,500534,,,Exhaust bellow/Soffietto scarico,VOLVO PENTA,Inboard_Engines
1500,4.3OSI,500534,,,Exhaust bellow/Soffietto scarico,VOLVO PENTA,Inboard_Engines
1501,4.3GIJBYA,500107GT,,,,VOLVO PENTA,Inboard_Engines
1501,4.3GIJWTR,500107GT,,,,VOLVO PENTA,Inboard_Engines
1502,4.3GIPBYCCE,500107GT,,,,VOLVO PENTA,Inboard_Engines
