Id,Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione
27,3.0 WMD (60Hz) 2.4 WMD (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
28,3.8/4.2 BCDT (60Hz) 3.5 BCDT (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
29,4.0 BCD (60Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
30,4.0 BCG (60Hz)3.0 BCG (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
31,4.4 BCD (60Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
32,4.4 WMD (60Hz)3.3 WMD (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
33,4.5 BCG (60Hz)3.75 BCG (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
34,4.5 BCGB (60Hz)3.75 BCGB (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
35,4.5 BCGT (60Hz)3.75 BCGTC (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
36,5.0 BCD (60Hz)4.0 BCD (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
37,5.0 BCDA (60Hz)4.0 BCDA (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
38,5.0 BCDB (60Hz)4.0 BCDB (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
39,5.0 BCG (60Hz) 4.2 BCG (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
40,5.0 BCGA (60Hz) 5.2 BCGA (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
41,6.0 BCD (60Hz)4.5 BCD (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
42,6.5 TWG (60Hz) 4.9 TWG (50Hz),500166G,,,,WESTERBEKE,Generator_Impellers
43,7.0 BCG (60Hz)5.0 BCG (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
44,7.0 BCGA (60Hz)5.0 BCGA (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
45,7.0 BCGB (60Hz)6.0 BCGB (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
46,7.0 BCGC (60Hz)5.9 BCGC (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
47,7.2 BCGTC (60Hz)6.0 BCGTC (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
48,7.6 BTD (60Hz)5.7 BTD (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
49,7.7 WMD (60Hz)5.8 WMD (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
50,8.0 BEG (60Hz)6.4 BEG (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
51,8.0 BTD (60Hz)6.0 BTD (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
52,8.0 TWG (60Hz) 6.4 TWG (50Hz),500166G,,,,WESTERBEKE,Generator_Impellers
53,8.0 WMD (60Hz)6.0 WMD (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
54,8.5 BTG (60Hz) 6.5 BTG (50Hz),500166G,,,,WESTERBEKE,Generator_Impellers
55,9.0 BTG (60Hz)7.0 BTG (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
56,9.6 BCGTC (60Hz)8.0 BCGTC (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
57,10.0 BEG (60Hz)8.0 BEG (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
58,11.0 TWG (60Hz) 8.5 TWG (50Hz),500166G,,,,WESTERBEKE,Generator_Impellers
59,12.5 BEG (60Hz)10.0 BEG (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
60,15.0 BEG (60Hz)12.0 BEG (50Hz),500121GX,,,,WESTERBEKE,Generator_Impellers
