Id,Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione
4862,2 HP (1984-2002),500324,,,,YAMAHA,Outboard_Engines
4863,3 HP MALTA (1988-2002),500322,,,,YAMAHA,Outboard_Engines
4864,4 HP (1984-1999),500325,,,,YAMAHA,Outboard_Engines
4865,5 HP (1984-2002),500325,,,,YAMAHA,Outboard_Engines
4866,6 HP non domestic (all /tutti),500321,,,,YAMAHA,Outboard_Engines
4867,6/8 HP (1984-2005),500302,,,2 strokes/2 tempi,YAMAHA,Outboard_Engines
4868,8 HP non domestic (all/tutti ),500321,,,,YAMAHA,Outboard_Engines
4869,9.9 HP (1984-1995),500320,,,,YAMAHA,Outboard_Engines
4870,"9,9 HP (1996-2004)",500363,,,,YAMAHA,Outboard_Engines
4871,15 HP (1984-1995),500320,,,,YAMAHA,Outboard_Engines
4872,15 HP (1996-2004),500363,,,,YAMAHA,Outboard_Engines
4873,20/25 N (1991 >),500384,,,2 strokes/2 tempi,YAMAHA,Outboard_Engines
4874,25 HP (1984-1987),500326,,,,YAMAHA,Outboard_Engines
4875,25 HP (1999),500385G,,,,YAMAHA,Outboard_Engines
4876,25 HP MHY (2000),500384,,,,YAMAHA,Outboard_Engines
4877,25 HP MHZ3_30MH_EH_ERZ (2001),500385G,,,,YAMAHA,Outboard_Engines
4878,25 HP MSH3A_30MSHA3 (2001),500385G,,,,YAMAHA,Outboard_Engines
4879,25 HP MSHA/B (2001),500384,,,,YAMAHA,Outboard_Engines
4880,25 HP 25MSHC/D (2004-2005),500384,,,,YAMAHA,Outboard_Engines
4881,30 HP (1984-1986),500326,,,,YAMAHA,Outboard_Engines
4882,30 HP (1987-1995),500385G,,SK0002,,YAMAHA,Outboard_Engines
4883,30 HP (1997-1998),500385G,,,,YAMAHA,Outboard_Engines
4884,40 HP (1984-1994),500385G,,,,YAMAHA,Outboard_Engines
4885,40 HP (1995-2005),500316,,,,YAMAHA,Outboard_Engines
4886,50 HP (1984-1994),500385G,,,,YAMAHA,Outboard_Engines
4887,50 HP (1995-2005),500316,,,,YAMAHA,Outboard_Engines
4888,50 HP Jet (1986-1989),500385G,,,,YAMAHA,Outboard_Engines
4889,55 HP (1989-1993),500316,,SK0003,,YAMAHA,Outboard_Engines
4890,60 HP (2001),500316,,,,YAMAHA,Outboard_Engines
4891,60 HP (2004-2005),500323,,,,YAMAHA,Outboard_Engines
4892,70 HP (1984-2003),500316,,SK0004,,YAMAHA,Outboard_Engines
4893,80/100 HP (1999 >),500364,,,,YAMAHA,Outboard_Engines
4894,85 (1985),500323,,,,YAMAHA,Outboard_Engines
4895,85E HP (1989-1990),500323,,BK0014,,YAMAHA,Outboard_Engines
4896,90 HP (1984-2005),500323,,BK0014,,YAMAHA,Outboard_Engines
4897,115 HP (6N6) (6E5) (1989-2005),500371,,,,YAMAHA,Outboard_Engines
4898,130 HP (6L1) (1988-1992),500371,,,,YAMAHA,Outboard_Engines
4899,130 HP (6N7) ( 1988-1996),500371,,,,YAMAHA,Outboard_Engines
4900,130 HP ( 2000-2004),500371,,,,YAMAHA,Outboard_Engines
4901,150 HP (6R2) (6G4) (1984-1991),500371,,,,YAMAHA,Outboard_Engines
4902,150 HP (6R2) (1992-1999),500371,,,,YAMAHA,Outboard_Engines
4903,150 HP (6E5) (1997-2005),500371,,,,YAMAHA,Outboard_Engines
4904,175 HP (6G5) (1984-1991),500371,,,,YAMAHA,Outboard_Engines
4905,175 HP (6R3) (1992-2000),500371,,,,YAMAHA,Outboard_Engines
4906,175 HP ETLN (1984),500371,,,,YAMAHA,Outboard_Engines
4907,200 HP (6G6) (1984-1991),500371,,,,YAMAHA,Outboard_Engines
4908,200 HP (6R4) (1984-1991),500371,,,,YAMAHA,Outboard_Engines
4909,200 HP (6R4) (1992-1999),500371,,,,YAMAHA,Outboard_Engines
4910,200 HP ETLN (1984),500371,,,,YAMAHA,Outboard_Engines
4911,225 HP (6R5) (1990-1991),500371,,,,YAMAHA,Outboard_Engines
4912,225 HP (1992-99),500371,,,,YAMAHA,Outboard_Engines
4913,250 HP (1990-1996),500371,,,,YAMAHA,Outboard_Engines
4914,300 HP,500389N,,,,YAMAHA,Outboard_Engines
4915,350 HP,500389N,,,,YAMAHA,Outboard_Engines
4916,B90 (1997-1999),500323,,,,YAMAHA,Outboard_Engines
4917,C25 (1990-1997),500326,,,,YAMAHA,Outboard_Engines
4918,C30 (1990-1992),500326,,,,YAMAHA,Outboard_Engines
4919,C40 (1992-1997),500352,,,,YAMAHA,Outboard_Engines
4920,C40 (1997-2002),500316,,,,YAMAHA,Outboard_Engines
4921,C50 (1999-2001),500316,,,,YAMAHA,Outboard_Engines
4922,"C55, Drive I (1991-1995)",500316,,,,YAMAHA,Outboard_Engines
4923,"C55, Drive II (1991-1995)",500316,,,,YAMAHA,Outboard_Engines
4924,C60 (1996-2001),500316,,,,YAMAHA,Outboard_Engines
4925,C70 (2000-2001),500316,,,,YAMAHA,Outboard_Engines
4926,C75 (1994-1999),500323,,,,YAMAHA,Outboard_Engines
4927,C80 (1997),500323,,,,YAMAHA,Outboard_Engines
4928,C85 (1989-1997),500323,,,,YAMAHA,Outboard_Engines
4929,C90 (1997-2001),500323,,,,YAMAHA,Outboard_Engines
4930,C115 (1991-1996),500371,,,,YAMAHA,Outboard_Engines
4931,CV25 (1990),500326,,,,YAMAHA,Outboard_Engines
4932,CV30 (1989-1990),500326,,,,YAMAHA,Outboard_Engines
4933,CV40 (1990),500352,,,,YAMAHA,Outboard_Engines
4934,"CV55, Drive I (1989-1990)",500316,,,,YAMAHA,Outboard_Engines
4935,"CV55, Drive II (1989-1990)",500316,,,,YAMAHA,Outboard_Engines
4936,CV85 (1989-1991),500323,,,,YAMAHA,Outboard_Engines
4937,E48 (1995-2000),500316,,,,YAMAHA,Outboard_Engines
4938,E60 (1995-2000),500316,,,,YAMAHA,Outboard_Engines
4939,E75 (1995-2000),500323,,,,YAMAHA,Outboard_Engines
4940,"F2,5 HP (2003-2005)",500322,,,,YAMAHA,Outboard_Engines
4941,F4 (2000-2005),500325,,,,YAMAHA,Outboard_Engines
4942,F6/F8 (2001-2005),500368,,,,YAMAHA,Outboard_Engines
4943,"F9,9 (1985-1998)",500320,,,,YAMAHA,Outboard_Engines
4944,F15 (1998-2005),500363,,,,YAMAHA,Outboard_Engines
4945,F25 (1998-2005),500385G,,,,YAMAHA,Outboard_Engines
4946,F30 (2001-2002),500385G,,,,YAMAHA,Outboard_Engines
4947,F40 (1999),500316,,,,YAMAHA,Outboard_Engines
4948,F40 (2000-2004),500385G,,,,YAMAHA,Outboard_Engines
4949,"F40 2,6L (1999)",500316,,,,YAMAHA,Outboard_Engines
4950,F50 (1999-2005),500316,,,,YAMAHA,Outboard_Engines
4951,F60 (2002-2005),500316,,,,YAMAHA,Outboard_Engines
4952,F75 (2003-2005),500364,,,,YAMAHA,Outboard_Engines
4953,F80 (1999-2003),500364,,,,YAMAHA,Outboard_Engines
4954,F90 (2004-2005),500364,,,,YAMAHA,Outboard_Engines
4955,C115 (2000),500371,,,,YAMAHA,Outboard_Engines
4956,DX150 (1999-2004),500371,,,,YAMAHA,Outboard_Engines
4957,F115 (2000-2005),500371,,,,YAMAHA,Outboard_Engines
4958,F100 (1999-2003),500364,,,,YAMAHA,Outboard_Engines
4959,F180 (2003),500364,,,,YAMAHA,Outboard_Engines
4960,F200 (2005),500371,,,,YAMAHA,Outboard_Engines
4961,F225 (2002),500371,,,,YAMAHA,Outboard_Engines
4962,F250 (2005),500371,,,,YAMAHA,Outboard_Engines
4963,L130 (6L6) (1989-1992),500371,,,,YAMAHA,Outboard_Engines
4964,L130 (6N4) (1989-1996),500371,,,,YAMAHA,Outboard_Engines
4965,L130 (2000-2001),500371,,,,YAMAHA,Outboard_Engines
4966,L150 (6R0) (1986-1999),500371,,,,YAMAHA,Outboard_Engines
4967,L150 (6K0) (1986-1991),500371,,,,YAMAHA,Outboard_Engines
4968,L200 (6K1) (1986-1991),500371,,,,YAMAHA,Outboard_Engines
4969,L200 (6R1) (1986-1991),500371,,,,YAMAHA,Outboard_Engines
4970,L200 (1992-1999),500371,,,,YAMAHA,Outboard_Engines
4971,L225 (1994-1999),500371,,,,YAMAHA,Outboard_Engines
4972,L250 (1990-1999),500371,,,,YAMAHA,Outboard_Engines
4973,LF115 (2000-2004),500371,,,,YAMAHA,Outboard_Engines
4974,LF200 (2002-2005),500371,,,,YAMAHA,Outboard_Engines
4975,LF225 (2002-2005),500371,,,,YAMAHA,Outboard_Engines
4976,LF250 (2005),500371,,,,YAMAHA,Outboard_Engines
4977,LX150 (1999-2004),500371,,,,YAMAHA,Outboard_Engines
4978,LX200 (1999-2003),500371,,,,YAMAHA,Outboard_Engines
4979,LX225 (2000-2003),500371,,,,YAMAHA,Outboard_Engines
4980,LX250 (2000-2003),500371,,,,YAMAHA,Outboard_Engines
4981,LZ150 (2001-2005),500371,,,,YAMAHA,Outboard_Engines
4982,LZ200 (2000-2005),500371,,,,YAMAHA,Outboard_Engines
4983,P40 (1998),500316,,,,YAMAHA,Outboard_Engines
4984,P50 (1991-1993),500385G,,,,YAMAHA,Outboard_Engines
4985,P50 (1995-1996),500316,,,,YAMAHA,Outboard_Engines
4986,P60 (1991-1999),500316,,,,YAMAHA,Outboard_Engines
4987,P75 (1996-1999),500323,,,,YAMAHA,Outboard_Engines
4988,LZ250 (2003-2005),500371,,,,YAMAHA,Outboard_Engines
4989,LZ300 (2004-2005),500371,,,,YAMAHA,Outboard_Engines
