Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione
1GM - 1GM10,500113,,,,YANMAR,Inboard_Engines
2GM/GM20,500100GX,,,,YANMAR,Inboard_Engines
2GMF/GMF 20,500129,,,,YANMAR,Inboard_Engines
2GM20/F-YEU,500101GX,,,,YANMAR,Inboard_Engines
2YM15,500101GX,,,,YANMAR,Inboard_Engines
2QM/QM15/QM20,500100GX,,,,YANMAR,Inboard_Engines
2QM/QM20,500129,,,,YANMAR,Inboard_Engines
3GM/3GMD/3GM30/QM30,500100GX,,,,YANMAR,Inboard_Engines
3GM30/F-YEU,500101GX,,,,YANMAR,Inboard_Engines
3GMF/GMD/GMF30/QM30,500129,,,,YANMAR,Inboard_Engines
3HM/HMF/HM35/HM35F,500129,,,,YANMAR,Inboard_Engines
3JH2E - 3JH2-TE,500107GT,,,,YANMAR,Inboard_Engines
3JH3E / 3JH4E / 3JH5E,500107GT,,,,YANMAR,Inboard_Engines
3QM,500108CGT,,,,YANMAR,Inboard_Engines
3YM20 / 3YM30,500101GX,,,,YANMAR,Inboard_Engines
4JH2E/4JH2-TE,500107GT,,,,YANMAR,Inboard_Engines
4JH2-UTE (B),500107GT,,,,YANMAR,Inboard_Engines
4JH2-E/TE/HTE/DTE,500107GT,,,,YANMAR,Inboard_Engines
4JH3E / 4JH4E/AE/TE/HTE / 4JH5E,500107GT,,,,YANMAR,Inboard_Engines
4LHA-HT (Z) (E) (P),500106GT,,,,YANMAR,Inboard_Engines
4LHA-ST (Z) (E) (P),500106GT,,,,YANMAR,Inboard_Engines
4LH-DTE/-HTE/-STE/-TE,500106GT,,,4BY,YANMAR,Inboard_Engines
4PH-TE/PHE/PHME/PHM-TE,500106GT,,,,YANMAR,Inboard_Engines
6CXM-GTE2,500192,,,,YANMAR,Inboard_Engines
6LY2-STE,500162G,,,,YANMAR,Inboard_Engines
6LYA-UTE/-STE,500162G,,,,YANMAR,Inboard_Engines
6LY-UTE/-STE,500161,,,,YANMAR,Inboard_Engines
6LY3-ETP,500161,,,,YANMAR,Inboard_Engines
6LP-DTE/-GLP/-STE,500124,,,,YANMAR,Inboard_Engines
6PH-HTE/PH-TE/PHE/PHME,500106GT,,,6BY,YANMAR,Inboard_Engines
6PHM- (H) TE,500106GT,,,6BY,YANMAR,Inboard_Engines
PMX 6/8,500116GX,,,,YANMAR,Inboard_Engines
SB8 - SB12,500100GX,,,,YANMAR,Inboard_Engines
SVE8 - SVE12,500100GX,,,,YANMAR,Inboard_Engines
YS B8/E8 - B12/E12,500100GX,,,,YANMAR,Inboard_Engines
YSM8/YSM12,500100GX,,,,YANMAR,Inboard_Engines
PS,500100GX,,,,YANMAR,Inboard_Engines
