Applications	CEF Code	NBR Version	Kit Code	Remarks (Compatibility - years - notes)	Manufacturer	Application Type
15	500371		6E5-W0078-A1-00	2-stroke. (No specific year). OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
40	500316			2-stroke. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50	500316			2-stroke. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
60	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
115	500371		6N6-W0078-02-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
(Ampia gamma 150~300 HP 2T/4T) (>=1992)	500371		61A-W0078-A3-00	Include F150, F200, F225, S/X/V/VZ, etc. Detailed listing. OEM code: 6E5-44352-01-00.	YAMAHA	General Application
115 (no year)	500371		6N6-W0078-02-00	2-stroke. No specific year. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TJRR (1993)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TJRS (1994)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TJRT (1995)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TJRU (1996)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TJRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TJRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLR (405)	500371		6N6-W0078-02-00	2-stroke. Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLR (406)	500371		6N6-W0078-02-00	2-stroke. Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLR (407)	500371		6N6-W0078-02-00	2-stroke. Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLR (408)	500371		6N6-W0078-02-00	2-stroke. Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLR (509)	500371		6N6-W0078-02-00	2-stroke. May 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLRA (2002)	500371		6N6-W0078-02-00	2-stroke. Year 2002. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLRB (2003)	500371		6N6-W0078-02-00	2-stroke. Year 2003. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLRC (2004)	500371		6N6-W0078-02-00	2-stroke. Year 2004. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
