# compatibilità con la girante YAMAHA 6E5-44352-01-00

Codice Kit,Codice Girante,Motori Compatibili
61A-W0078-A4-00,6E5-44352-01-00,F150 - tutti
61A-W0078-A4-00,6E5-44352-01-00,LF150 - tutti
61A-W0078-A4-00,6E5-44352-01-00,F175LA - 0114 - 0115 - 0116
61A-W0078-A4-00,6E5-44352-01-00,F175XA - 0114 - 0115 - 0116
61A-W0078-A4-00,6E5-44352-01-00,150 HP 2-Stroke - tutti
61A-W0078-A4-00,6E5-44352-01-00,175TLRY - 2000
61A-W0078-A4-00,6E5-44352-01-00,175TXRY - 2000
61A-W0078-A4-00,6E5-44352-01-00,200TLRV - 1997
61A-W0078-A4-00,6E5-44352-01-00,200TLRW - 1998
61A-W0078-A4-00,6E5-44352-01-00,225TLRV - 1997
61A-W0078-A4-00,6E5-44352-01-00,L200TXRV - 1997-1999
61A-W0078-A4-00,6E5-44352-01-00,LX200TXR - 1999-2000
61A-W0078-A4-00,6E5-44352-01-00,S150
61A-W0078-A4-00,6E5-44352-01-00,SX150
61A-W0078-A4-00,6E5-44352-01-00,S175TXR - 1997-1999
61A-W0078-A4-00,6E5-44352-01-00,S200
61A-W0078-A4-00,6E5-44352-01-00,SX200
61A-W0078-A4-00,6E5-44352-01-00,SX200TXR - 1999-2000
61A-W0078-A4-00,6E5-44352-01-00,VX150TLRY - 2000
61A-W0078-A4-00,6E5-44352-01-00,VX150
61A-W0078-A4-00,6E5-44352-01-00,VX200TLR - 2002-2005
61A-W0078-A4-00,6E5-44352-01-00,VX225TLR - 2002-2004
61A-W0078-A4-00,6E5-44352-01-00,VX250TLR - 2002-2004
61A-W0078-A4-00,6E5-44352-01-00,V150
61A-W0078-A4-00,6E5-44352-01-00,V250
61A-W0078-A4-00,6E5-44352-01-00,VZ150
61A-W0078-A4-00,6E5-44352-01-00,VZ175TLR - 2001-2012
61A-W0078-A4-00,6E5-44352-01-00,VZ200 - 2.6L - 2001-2004
61A-W0078-A4-00,6E5-44352-01-00,Z150
61A-W0078-A4-00,6E5-44352-01-00,Z175TXR - 2001-2005
61A-W0078-A4-00,6E5-44352-01-00,Z200TLR - 2000-2005
61A-W0078-A4-00,6E5-44352-01-00,Z200TXR - 2000-2012
61A-W0078-A4-00,6E5-44352-01-00,Z250TUR - 2003-2005
61A-W0078-A4-00,6E5-44352-01-00,Z250TXR - 2003-2005
61A-W0078-A4-00,6E5-44352-01-00,Z300TUR/TXR - 2004-2005
61A-W0078-A4-00,6E5-44352-01-00,F200LB - 0113-1212
61A-W0078-A4-00,6E5-44352-01-00,F200TXR - 2002-2010
61A-W0078-A4-00,6E5-44352-01-00,F200XA/XB/XCA - 0112-0116
61A-W0078-A4-00,6E5-44352-01-00,LF200TXR - 2002-2010
61A-W0078-A4-00,6E5-44352-01-00,LF200XA/XB/XCA - 0112-0116
61A-W0078-A4-00,6E5-44352-01-00,F225TUR/TXR - 2002-2010
61A-W0078-A4-00,6E5-44352-01-00,F225XA - 0112-0116
61A-W0078-A4-00,6E5-44352-01-00,LF225TUR/TXR - 2002-2010
61A-W0078-A4-00,6E5-44352-01-00,F250TUR/TXR - 2005 - 0405
61A-W0078-A4-00,6E5-44352-01-00,LF250TUR/TXR - 2005 - 0405
61A-W0078-A4-00,6E5-44352-01-00,LX200TXRZ - 2001
61A-W0078-A4-00,6E5-44352-01-00,LX225TXR - 2002-2003
61A-W0078-A4-00,6E5-44352-01-00,LX250TUR/TXR - 2002-2003
61A-W0078-A4-00,6E5-44352-01-00,LZ200TXR - 2000-2012
61A-W0078-A4-00,6E5-44352-01-00,LZ250TUR/TXR - 2003-2005
61A-W0078-A4-00,6E5-44352-01-00,LZ300TUR/TXR - 2004-2005
61A-W0078-A4-00,6E5-44352-01-00,SX200TXR - 2001-2005
61A-W0078-A4-00,6E5-44352-01-00,SX225TUR/TXR - 2002-2003
61A-W0078-A4-00,6E5-44352-01-00,SX250TUR/TXR - 2002-2003
61A-W0078-A4-00,6E5-44352-01-00,VF175LA - 0115-0116
61A-W0078-A4-00,6E5-44352-01-00,P150
61A-W0078-A4-00,6E5-44352-01-00,P200
61A-W0078-A4-00,6E5-44352-01-00,C150 - 1997-1999
61A-W0078-A4-00,6E5-44352-01-00,PX150 - 1999
61A-W0078-A4-00,6E5-44352-01-00,225
61A-W0078-A4-00,6E5-44352-01-00,250 - 1992 e più recenti
