GIRANTE_OEM,KIT,MODELLO,CODICE_ANNO,SIGNIFICATO_ANNO,NOTE
6L5-44352-00-00,6L5-W0078-00-00,3,1988~2002,"Produzione 2T dal 1988 al 2002","2T"
6CE-44352-00-00,,F225NCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,F225NCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,F225NCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,F225XB,0616,"Giugno 2016 (≥2014)","4T"
6CE-44352-00-00,,F225XCA,0113,"Gennaio 2013","4T"
6CE-44352-00-00,,F225XCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,F225XCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,F225XCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,F225XCA,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,F225XCA,_0112,"Gennaio 2012","4T"
6CE-44352-00-00,,F225XCA,_0411,"Aprile 2011","4T"
6CE-44352-00-00,,F250DET1X,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,F250NCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,F250NCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,F250NCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,F250UCA,0113,"Gennaio 2013","4T"
6CE-44352-00-00,,F250UCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,F250UCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,F250UCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,F250UCA,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,F250UCA,_0112,"Gennaio 2012","4T"
6CE-44352-00-00,,F250UCA,_0411,"Aprile 2011","4T"
6CE-44352-00-00,,F250XB,,"Nessuna codifica anno","4T"
6CE-44352-00-00,,F250XCA,0113,"Gennaio 2013","4T"
6CE-44352-00-00,,F250XCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,F250XCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,F250XCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,F250XCA,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,F250XCA,_0112,"Gennaio 2012","4T"
6CE-44352-00-00,,F250XCA,_0411,"Aprile 2011","4T"
6CE-44352-00-00,,F300BET1U,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,F300BETU,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,F300BETX,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,F300NCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,F300NCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,F300NCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,F300UCA,0113,"Gennaio 2013","4T"
6CE-44352-00-00,,F300UCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,F300UCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,F300UCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,F300UCA,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,F300UCA,_0112,"Gennaio 2012","4T"
6CE-44352-00-00,,F300UCA,_0411,"Aprile 2011","4T"
6CE-44352-00-00,,F300XCA,0113,"Gennaio 2013","4T"
6CE-44352-00-00,,F300XCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,F300XCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,F300XCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,F300XCA,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,F300XCA,_0112,"Gennaio 2012","4T"
6CE-44352-00-00,,F300XCA,_0411,"Aprile 2011","4T"
6CE-44352-00-00,,FL250DET1X,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,FL300BET1U,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,FL300BET1X,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,FL300BETU,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,FL300BETX,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,LF225XB,0616,"Giugno 2016 (≥2014)","4T"
6CE-44352-00-00,,LF225XCA,0113,"Gennaio 2013","4T"
6CE-44352-00-00,,LF225XCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,LF225XCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,LF225XCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,LF225XCA,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,LF225XCA,_0112,"Gennaio 2012","4T"
6CE-44352-00-00,,LF225XCA,_0411,"Aprile 2011","4T"
6CE-44352-00-00,,LF250UCA,0113,"Gennaio 2013","4T"
6CE-44352-00-00,,LF250UCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,LF250UCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,LF250UCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,LF250UCA,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,LF250UCA,_0112,"Gennaio 2012","4T"
6CE-44352-00-00,,LF250UCA,_0411,"Aprile 2011","4T"
6CE-44352-00-00,,LF250XB,0616,"Giugno 2016 (≥2014)","4T"
6CE-44352-00-00,,LF250XCA,0113,"Gennaio 2013","4T"
6CE-44352-00-00,,LF250XCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,LF250XCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,LF250XCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,LF250XCA,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,LF250XCA,_0112,"Gennaio 2012","4T"
6CE-44352-00-00,,LF250XCA,_0411,"Aprile 2011","4T"
6CE-44352-00-00,,LF300UCA,0113,"Gennaio 2013","4T"
6CE-44352-00-00,,LF300UCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,LF300UCA,0115,"Gennaio 2015 (≥2014)","4T"
